stt,d_mea1,d_kalman1,d_mea2,d_kalman2,d_mea3,d_kalman3,d_mea4,d_kalman4,d_mea5,d_kalman5,d_mea6,d_kalman6,d_mea7,d_kalman7
231,51.1,52.6,100.6,98.6,197.9,196.8,306.7,302.7,519.2,522.4,1043.3,1043.9,1545.5,1540.7
232,55,52.7,94.1,98.6,199.3,196.8,300.6,302.7,515.5,522.4,1034.2,1043.8,1541,1540.7
233,52.9,52.7,94,98.6,200.3,196.9,299.1,302.7,508.9,522.4,1033.9,1043.8,1538.7,1540.7
234,55.1,52.7,90.8,98.6,199.8,196.9,303.4,302.7,517.1,522.3,1041.3,1043.8,1545.6,1540.7
235,44.9,52.6,95,98.6,196.4,196.9,303.5,302.7,511.9,522.2,1040.4,1043.8,1551.4,1540.8
236,52.5,52.6,93.4,98.5,198.7,196.9,301.7,302.7,520.9,522.3,1035.3,1043.7,1542.3,1540.8
237,54.3,52.6,93.9,98.5,201.6,196.9,305.3,302.7,510.5,522.3,1032.8,1043.7,1548.1,1540.8
238,50.7,52.6,93.7,98.5,197.7,196.9,305.7,302.7,516.7,522.3,1028.7,1043.6,1528.9,1540.7
239,55.1,52.6,97.5,98.5,197.2,196.9,304.1,302.7,523.4,522.3,1035.4,1043.6,1541.1,1540.7
240,47.1,52.6,96.5,98.5,198.7,196.9,306.9,302.8,521,522.2,1037.3,1043.6,1546.3,1540.8
241,56.9,52.6,94.3,98.5,195.9,196.9,303.3,302.8,509.3,522.2,1036.1,1043.5,1548.9,1540.8
242,48.1,52.6,93.7,98.4,197.6,196.9,299.9,302.8,510.7,522.2,1068.4,1043.6,1546,1540.8
243,45,52.6,99.9,98.4,196.9,196.9,304.3,302.8,513.3,522.2,1035.5,1043.6,1538.4,1540.8
244,47.3,52.6,97.9,98.4,200.6,196.9,303.2,302.8,512.1,522.1,1028.4,1043.5,1543.5,1540.8
245,57.1,52.6,101.4,98.5,200.3,196.9,298.7,302.7,511.2,522.1,1044.1,1043.5,1544.7,1540.8
246,54.1,52.6,98.9,98.5,200,197,304.9,302.8,512.3,522.1,1042.2,1043.5,1540.1,1540.8
247,51.5,52.6,97.5,98.5,198.6,197,303,302.8,519.3,522,1047.9,1043.5,1546.5,1540.9
248,56.9,52.6,98.4,98.5,200.1,197,303.7,302.8,515.5,522,1064.6,1043.6,1538.9,1540.8
249,56.1,52.6,100.4,98.5,198.3,197,302.4,302.8,517,521.9,1043.1,1043.6,1542.3,1540.9
250,53.3,52.6,101.4,98.5,198.9,197,302,302.8,512.9,521.9,1035.5,1043.6,1545.1,1540.9
251,55.8,52.6,100.9,98.5,199.9,197,303.9,302.8,519.1,521.8,1041.7,1043.6,1543.8,1540.9
252,54.5,52.6,99,98.5,197.9,197,302.7,302.8,509.9,521.8,1041.6,1043.6,1542.3,1540.9
253,58,52.7,99,98.5,196.1,197,305.1,302.8,511,521.7,1051,1043.6,1542.5,1540.9
254,50.6,52.7,100.7,98.5,197.9,197,302.5,302.8,514.4,521.7,1048.9,1043.6,1539.5,1540.9
255,54.1,52.7,103.2,98.5,198.2,197,304.8,302.8,511.7,521.7,1039.3,1043.6,1540.4,1540.9
256,56.3,52.7,97.5,98.5,202.2,197,300.3,302.8,516,521.6,1036.7,1043.6,1541.6,1540.9
257,52.3,52.7,100.6,98.5,197.3,197,301.8,302.8,519.8,521.6,1035.8,1043.6,1540,1540.9
258,48.1,52.7,104.5,98.5,199.7,197,302.3,302.8,521.8,521.6,1034.3,1043.5,1537.5,1540.9
259,55,52.7,102,98.6,199.9,197,302.3,302.8,517.1,521.5,1038.7,1043.5,1545.4,1540.9
260,51.7,52.7,101.2,98.6,200.5,197.1,304.3,302.8,516.6,521.5,1043,1043.5,1541.1,1540.9
261,49.8,52.6,102.6,98.6,198.9,197.1,300.9,302.8,515.6,521.5,1035.8,1043.5,1539.9,1540.9
262,54.2,52.7,107,98.6,199.4,197.1,302.4,302.8,512.2,521.5,1041.3,1043.5,1541.5,1540.9
263,52,52.7,99.1,98.6,197.6,197.1,305.9,302.8,516.5,521.5,1048.4,1043.5,1538.8,1540.9
264,48.9,52.6,103.4,98.6,194.4,197.1,305.6,302.8,513.3,521.5,1040.1,1043.5,1539.2,1540.9
265,53.3,52.6,98.1,98.6,198.3,197.1,303.7,302.8,511.1,521.6,1033.5,1043.4,1544.9,1540.9
266,49.1,52.6,99.5,98.6,201.5,197.1,302.4,302.8,516.5,521.6,1038.6,1043.4,1538.2,1540.9
267,54.7,52.6,99.3,98.6,199,197.1,303.6,302.8,517.2,521.6,1033.7,1043.4,1543.5,1540.9
268,51.2,52.6,95.8,98.6,202.2,197.1,302.3,302.8,513,521.6,1043.5,1043.4,1543.5,1540.9
269,49.1,52.6,101.4,98.6,202.4,197.1,306.1,302.8,517.5,521.5,1039.3,1043.4,1542.2,1540.9
270,55.9,52.6,99.5,98.6,199.6,197.1,306.2,302.8,513.2,521.5,1038.1,1043.3,1539.1,1540.9
271,52,52.6,99.3,98.6,198.5,197.1,302.7,302.8,512.9,521.4,1035.8,1043.3,1546.4,1540.9
272,47.3,52.6,98.1,98.6,198.1,197.2,301.4,302.8,516,521.4,1039.1,1043.3,1537.4,1540.9
273,52.8,52.6,99.8,98.6,197.7,197.2,303.8,302.8,515,521.4,1038.8,1043.3,1538,1540.9
274,49.4,52.6,95.4,98.6,199.5,197.2,302.8,302.8,517.7,521.4,1035.7,1043.3,1538.4,1540.9
275,54.4,52.6,94.8,98.6,198.3,197.2,305.5,302.8,507.6,521.4,1049.6,1043.3,1535.5,1540.9
276,53.6,52.6,94.3,98.6,200,197.2,303.8,302.8,519.2,521.4,1042.7,1043.3,1547.5,1540.9
277,53.4,52.6,94.2,98.6,196.3,197.2,305.5,302.8,515.5,521.4,1038.8,1043.3,1548.2,1540.9
278,48.8,52.6,97.7,98.6,200.3,197.2,300.7,302.8,508.9,521.3,1040,1043.3,1537.5,1540.9
279,52.6,52.6,96.4,98.6,198.9,197.2,303.4,302.8,509.6,521.3,1041.2,1043.2,1539.4,1540.9
280,50.7,52.6,95.4,98.6,198.6,197.2,304.1,302.8,515.8,521.3,1094.9,1043.4,1545,1540.9
281,51.3,52.6,95.4,98.6,196.5,197.2,299.7,302.8,505.4,521.3,1040.8,1043.4,1540.4,1540.9
282,52.7,52.6,93.5,98.5,198.6,197.2,304.7,302.8,512.3,521.2,1042.3,1043.4,1542.3,1540.9
283,48.7,52.6,97.1,98.5,203.5,197.2,302.6,302.8,516,521.2,1039.2,1043.4,1543.6,1540.9
284,47.4,52.6,94.5,98.5,200.6,197.2,300.9,302.8,512,521.2,1041.2,1043.4,1541.1,1540.9
285,54.7,52.6,96.2,98.5,199.4,197.2,305.2,302.8,511.9,521.2,1036.5,1043.4,1545.7,1540.9
286,50,52.6,96.7,98.5,199.3,197.2,304.3,302.8,509.9,521.1,1046,1043.4,1541.2,1540.9
287,48.6,52.5,93.7,98.5,198.8,197.3,305.7,302.8,514.2,521.1,1041.9,1043.4,1546.3,1541
288,49.8,52.5,96.6,98.5,198.6,197.3,303.7,302.8,512.4,521.1,1040.4,1043.4,1544.1,1541
289,52.3,52.5,92.9,98.5,199.8,197.3,304.5,302.8,508.4,521.1,1040.1,1043.4,1543.4,1541
290,50.9,52.5,94.1,98.4,200.4,197.3,303.6,302.8,515.9,521,1071.2,1043.4,1538.2,1541
291,48.9,52.5,97.3,98.4,199.4,197.3,301.2,302.8,516.7,521,1045.5,1043.5,1550.4,1541
292,48.2,52.5,90.8,98.4,197.9,197.3,302.4,302.8,514.4,521,1040.8,1043.4,1538.3,1541
293,48.2,52.5,98.6,98.4,199.7,197.3,308.1,302.9,515,520.9,1038,1043.4,1542.1,1541
294,54.8,52.5,92,98.4,202.2,197.3,302,302.9,509.3,520.9,1042.3,1043.4,1545.6,1541
295,51,52.5,95,98.4,198.4,197.3,302.1,302.9,515.6,520.9,1041.9,1043.4,1545.3,1541
296,48.7,52.5,94.2,98.4,200.3,197.3,300.2,302.8,512.9,520.9,1038.8,1043.4,1540.4,1541
297,53.2,52.5,93.6,98.4,196.6,197.3,302.8,302.8,505.5,520.8,1036.4,1043.4,1541.7,1541
298,50.4,52.5,95.4,98.3,196.1,197.3,307.8,302.9,512.5,520.8,1041.4,1043.4,1546.7,1541
299,52.6,52.5,92.5,98.3,197.5,197.3,303,302.9,516,520.8,1044.7,1043.4,1534.6,1541
300,49.1,52.5,93.7,98.3,197.9,197.3,304.2,302.9,516.8,520.8,1035.2,1043.3,1541.2,1541
301,51,52.4,97.4,98.3,200.6,197.3,301.8,302.9,513.6,520.7,1042.8,1043.3,1532.6,1541
302,53.9,52.5,97.5,98.3,196.5,197.3,300.8,302.9,511,520.7,1043.5,1043.3,1544.1,1541
303,55,52.5,95,98.3,197.6,197.3,305.3,302.9,512.3,520.7,1042.7,1043.3,1545.8,1541
304,48.5,52.4,92.6,98.3,195.8,197.3,300.6,302.9,511.2,520.7,1042.1,1043.3,1543.5,1541
305,50.9,52.4,95.3,98.3,198.5,197.3,308.2,302.9,510.8,520.7,1043.3,1043.3,1543.2,1541
306,52.3,52.4,93.8,98.2,202.8,197.3,302,302.9,513.9,520.6,1043,1043.3,1545.5,1541.1
307,53.8,52.4,96.1,98.2,201,197.4,302,302.9,513.9,520.6,1041.6,1043.3,1545.1,1541.1
308,52.5,52.4,96.3,98.2,197.6,197.4,301.8,302.9,508.6,520.6,1044.5,1043.3,1543.6,1541.1
309,54.6,52.5,93.1,98.2,201,197.4,301.3,302.9,508.8,520.6,1042.5,1043.3,1540.6,1541.1
310,55.6,52.5,92.7,98.2,198.2,197.4,304.5,302.9,509.7,520.6,1043.5,1043.3,1542.5,1541.1
311,53.5,52.5,94.6,98.2,197,197.4,301.8,302.9,520.1,520.6,1031.2,1043.3,1538.8,1541.1
312,52.5,52.5,97.3,98.2,198.5,197.4,301.4,302.9,518.3,520.6,1040.1,1043.3,1542.3,1541.1
313,53.8,52.5,94.9,98.2,202.2,197.4,303.2,302.9,511.6,520.6,1037.2,1043.3,1546.3,1541.1
314,53.5,52.5,94.9,98.2,197.3,197.4,301.9,302.9,517.6,520.6,1044.9,1043.3,1541.1,1541.1
315,52.3,52.5,95.8,98.2,200.7,197.4,303,302.9,519.1,520.6,1043.5,1043.3,1538.3,1541.1
316,52.7,52.5,96.2,98.2,199.7,197.4,300.9,302.8,518.9,520.5,1039.6,1043.3,1545.5,1541.1
317,51.4,52.5,99.3,98.2,201.6,197.4,300.6,302.8,518.3,520.5,1043.4,1043.3,1541.6,1541.1
318,51,52.5,96.4,98.2,200.3,197.4,304.5,302.8,517.6,520.5,1041.4,1043.3,1541.7,1541.1
319,54.5,52.5,93.9,98.1,197.6,197.4,303,302.8,507.4,520.5,1032.9,1043.2,1535.3,1541.1
320,55.3,52.5,95,98.1,202.4,197.4,301.9,302.8,511.1,520.5,1039.6,1043.2,1543.3,1541.1
321,52.6,52.5,94.9,98.1,199.2,197.5,304.6,302.9,516.7,520.4,1035.6,1043.2,1547.5,1541.1
322,53,52.5,95.9,98.1,200.1,197.5,303.4,302.9,507,520.4,1045.4,1043.2,1541.2,1541.1
323,52.5,52.5,90.4,98.1,201.7,197.5,302.8,302.9,511.8,520.4,1094.7,1043.4,1547.1,1541.1
324,53.4,52.5,96.9,98.1,201.2,197.5,301.2,302.8,509.9,520.4,1068.1,1043.4,1536.3,1541.1
325,52.1,52.5,96.2,98.1,199.7,197.5,296.4,302.8,511.4,520.4,1047.2,1043.4,1539.8,1541.1
326,52,52.5,97.4,98.1,199.6,197.5,307.8,302.8,512.3,520.4,1046.4,1043.5,1535.5,1541.1
327,53.9,52.5,94.6,98.1,203,197.5,302.3,302.8,507.7,520.4,1044.4,1043.5,1544,1541.1
328,48.8,52.5,94.9,98.1,202.3,197.5,298.7,302.8,515.1,520.3,1038.3,1043.4,1544.3,1541.1
329,51,52.5,92.5,98,204.2,197.5,304.7,302.8,513.5,520.3,1046.5,1043.4,1544,1541.1
330,52.2,52.5,92.9,98,197.8,197.6,300.4,302.8,516.4,520.3,1038,1043.4,1541.3,1541.1
331,54.1,52.5,96.4,98,199.3,197.6,302.1,302.8,510.7,520.3,1045.8,1043.4,1546.9,1541.1
332,52.8,52.5,93.2,98,196.3,197.6,301.5,302.8,511.1,520.3,1043.1,1043.4,1535.6,1541.1
333,53.2,52.5,93.6,98,196.4,197.5,303.2,302.8,518.8,520.3,1041.7,1043.4,1540.7,1541.1
334,52,52.5,97.9,98,199.1,197.6,302.7,302.8,516.1,520.3,1067.7,1043.5,1541.7,1541.1
335,52.9,52.5,95.4,98,199.2,197.6,302,302.8,505.8,520.2,1065.3,1043.6,1544.1,1541.1
336,55.1,52.5,95.9,98,197.3,197.6,305.2,302.8,510.7,520.2,1031.9,1043.5,1541.9,1541.1
337,53.3,52.5,97.5,98,200.3,197.6,304.5,302.8,513.3,520.2,1035,1043.5,1544.7,1541.1
338,53.2,52.5,96.3,98,196.2,197.6,301,302.8,512.1,520.2,1042.5,1043.5,1550,1541.2
339,53,52.5,96.3,98,199,197.6,306.4,302.8,511.2,520.2,1036.8,1043.5,1539,1541.2
340,55.9,52.5,95.1,98,198.6,197.6,304.6,302.8,522.3,520.2,1045.5,1043.5,1541.3,1541.2
341,52.2,52.5,94.8,97.9,197.6,197.6,302.4,302.8,519.3,520.1,1046.6,1043.5,1543.6,1541.2
342,55.5,52.5,96.8,97.9,196.2,197.6,301.4,302.8,515.5,520.1,1046.5,1043.5,1544.5,1541.2
343,54.9,52.5,92.3,97.9,196.6,197.6,303,302.8,517,520.1,1042.4,1043.5,1551.7,1541.2
344,54.8,52.5,94.6,97.9,199,197.6,306.2,302.8,512.9,520.1,1043.1,1043.5,1550.8,1541.2
345,51.5,52.5,93.3,97.9,199,197.6,305,302.9,519.1,520.1,1037.8,1043.5,1538,1541.2
346,55.3,52.5,94.2,97.9,199.8,197.6,304.8,302.9,509.9,520.1,1050.9,1043.5,1542.2,1541.2
347,55.7,52.5,95.9,97.9,197,197.6,301.5,302.9,511,520.1,1049.4,1043.5,1542.9,1541.2
348,55.5,52.5,96.9,97.9,199.1,197.6,303.1,302.9,514.4,520.1,1039,1043.5,1557.8,1541.3
349,57.9,52.6,93.1,97.9,199,197.6,301.4,302.9,511.7,520.1,1045.9,1043.5,1550.5,1541.3
350,52.9,52.6,95,97.9,202.5,197.6,299.1,302.8,516,520.1,1044.4,1043.5,1540,1541.3
351,49.7,52.6,97.9,97.9,202,197.6,303.8,302.8,519.8,520,1041.9,1043.5,1544.5,1541.3
352,55.4,52.6,95.6,97.9,196,197.6,304.8,302.8,521.8,520,1041.4,1043.5,1540.4,1541.3
353,53.5,52.6,93.8,97.8,199.9,197.6,301.1,302.8,517.1,520,1035,1043.5,1546.4,1541.3
354,53.5,52.6,90.6,97.8,196.2,197.6,303.1,302.8,516.6,520,1039,1043.5,1547.6,1541.3
355,55.7,52.6,93.8,97.8,197.3,197.6,306.9,302.9,515.6,520,1039.8,1043.5,1543.9,1541.3
356,49.1,52.6,92.3,97.8,195.7,197.6,303.8,302.9,512.2,520,1048,1043.5,1542.7,1541.4
357,54.4,52.6,96.1,97.8,197.3,197.6,304.2,302.9,516.5,520,1044.6,1043.5,1542.8,1541.4
358,53.8,52.6,95.2,97.8,197.4,197.6,309.4,302.9,513.3,520,1037.2,1043.5,1545.1,1541.4
359,53,52.6,93.1,97.8,201.3,197.6,301.6,302.9,511.1,519.9,1041.1,1043.5,1548.2,1541.4
360,51.2,52.6,98.5,97.8,195.9,197.6,303.5,302.9,516.5,519.9,1044.3,1043.5,1542.6,1541.4
361,55.9,52.6,92.9,97.8,196.3,197.6,301.3,302.9,517.2,519.9,1032.8,1043.4,1544.7,1541.4
362,50.2,52.6,90,97.7,200.4,197.6,303.4,302.9,513,519.9,1040.2,1043.4,1535.6,1541.4
363,53,52.6,96.5,97.7,195.3,197.6,303.5,302.9,517.5,519.9,1043.6,1043.4,1548.2,1541.4
364,54.6,52.6,94.6,97.7,201.1,197.6,302.5,302.9,513.2,519.9,1035.1,1043.4,1536.4,1541.4
365,57.4,52.6,94.7,97.7,195.8,197.6,303.8,302.9,512.9,519.9,1034.5,1043.4,1538.6,1541.4
366,56,52.6,94.6,97.7,197.7,197.6,301.9,302.9,516,519.9,1029.8,1043.3,1542.4,1541.4
367,56.1,52.6,96.2,97.7,198.4,197.6,305.3,302.9,515,519.9,1037.4,1043.3,1542.1,1541.4
368,53.5,52.6,93.1,97.7,199.1,197.6,303.4,302.9,517.7,519.9,1026.5,1043.3,1546.8,1541.4
369,57.4,52.6,92.7,97.7,196.6,197.6,303.9,302.9,507.6,519.9,1044.1,1043.3,1552.1,1541.4
370,50.9,52.6,95.9,97.7,195.6,197.6,304.3,302.9,519.2,519.9,1044.6,1043.3,1540.9,1541.4
371,53.6,52.6,95.8,97.7,199.4,197.6,301.5,302.9,515.5,519.9,1033.5,1043.3,1535.7,1541.4
372,59,52.6,94.2,97.7,195.8,197.6,303,302.9,508.9,519.8,1042.6,1043.3,1540.1,1541.4
373,51,52.6,93.8,97.7,198.8,197.6,302.8,302.9,517.1,519.9,1043.1,1043.3,1546.1,1541.4
374,56.1,52.7,98.3,97.7,197.4,197.6,302,302.9,511.9,519.9,1041.5,1043.3,1540.5,1541.4
375,57.8,52.7,93.4,97.6,197.8,197.6,306.3,302.9,520.9,519.9,1044.3,1043.3,1552.3,1541.4
376,53.1,52.7,95,97.6,197.7,197.6,302.3,302.9,510.5,519.8,1041.2,1043.2,1544.7,1541.5
377,53.9,52.7,96.2,97.6,197.3,197.6,305.7,302.9,516.7,519.8,1039.1,1043.2,1544.2,1541.5
378,57.8,52.7,98.1,97.6,196.5,197.6,301.6,302.9,523.4,519.8,1044.3,1043.2,1544.4,1541.5
379,52.8,52.7,95.6,97.6,193.6,197.6,303.3,302.9,521,519.8,1037.1,1043.2,1546.1,1541.5
380,53.6,52.7,95.4,97.6,197,197.6,300.2,302.9,509.3,519.8,1040.7,1043.2,1541,1541.5
381,56.7,52.7,96,97.6,198.5,197.6,302.9,302.9,510.7,519.8,1046.2,1043.2,1542.6,1541.5
382,51.2,52.7,92.8,97.6,195.2,197.6,304,302.9,513.3,519.8,1040.7,1043.2,1539.5,1541.5
383,50.3,52.7,98.2,97.6,199,197.6,304.6,302.9,512.1,519.8,1048.5,1043.2,1541.6,1541.5
384,55.4,52.7,95.1,97.6,198.2,197.6,304.4,302.9,511.2,519.8,1033.8,1043.2,1546.5,1541.5
385,57.7,52.7,93.9,97.6,196.6,197.6,300.6,302.9,512.3,519.8,1039.4,1043.2,1540.3,1541.5
386,55.8,52.7,94.7,97.6,200.8,197.6,303.5,302.9,519.3,519.8,1043.7,1043.2,1542.9,1541.5
387,53.9,52.7,97.8,97.6,200.5,197.6,306.6,302.9,515.5,519.8,1039.1,1043.2,1545.6,1541.5
388,53.4,52.7,96.2,97.6,196.6,197.6,301.8,302.9,517,519.8,1044.6,1043.2,1548.7,1541.5
389,54.1,52.7,97.3,97.6,196.3,197.6,302.9,302.9,512.9,519.8,1044.4,1043.2,1537.3,1541.5
390,53.7,52.7,97.2,97.6,199.2,197.6,304,302.9,519.1,519.8,1043.6,1043.2,1539.8,1541.5
391,52.4,52.7,93.1,97.6,200.7,197.6,302.3,302.9,509.9,519.8,1036.5,1043.2,1535.9,1541.5
392,49.6,52.7,95.5,97.6,192.2,197.6,299.8,302.9,511,519.8,1041.2,1043.2,1541,1541.5
393,50.1,52.7,94.8,97.6,195.5,197.6,304.7,302.9,514.4,519.8,1038,1043.2,1547.9,1541.5
394,52.7,52.7,97,97.6,197.3,197.6,305.2,302.9,511.7,519.7,1040.7,1043.2,1537.6,1541.5
395,53.7,52.7,94.4,97.5,198.2,197.6,305.4,302.9,516,519.7,1030.5,1043.1,1542,1541.5
396,52.7,52.7,93.1,97.5,195.7,197.6,301.9,302.9,519.8,519.7,1035.6,1043.1,1553,1541.5
397,53.3,52.7,94.9,97.5,194.7,197.6,303,302.9,521.8,519.7,1029,1043.1,1538.2,1541.5
398,51.4,52.7,95.2,97.5,193.2,197.6,303.8,302.9,517.1,519.7,1038.5,1043.1,1541.9,1541.5
399,47.7,52.7,94.5,97.5,196.4,197.6,306.8,302.9,516.6,519.7,1041.5,1043.1,1542.8,1541.5
400,50,52.7,92.9,97.5,198,197.6,300.4,302.9,515.6,519.7,1043.6,1043.1,1540.3,1541.5
