stt,d_mea1,d_kalman1,d_mea2,d_kalman2,d_mea3,d_kalman3,d_mea4,d_kalman4,d_mea5,d_kalman5,d_mea6,d_kalman6,d_mea7,d_kalman7
53,52.7,51.8,102.9,97.6,197,196.4,302.7,302.2,510.7,529.2,1037.4,1046.9,1540.4,1537.8
54,49.8,51.7,95.7,97.6,199.6,196.4,301.6,302.1,511.1,529.3,1033.5,1046.7,1544.8,1538
55,53.9,51.8,99.9,97.6,199.7,196.5,302.7,302.2,518.8,528.9,1041.7,1046.6,1547.8,1538.1
56,50.3,51.8,97,97.6,202,196.6,301.6,302.1,516.1,528.4,1043.2,1046.5,1540.8,1538.2
57,53.9,51.8,97,97.6,197,196.6,304.5,302.2,505.8,528.5,1040.1,1046.4,1548.3,1538.3
58,48.5,51.7,99.1,97.6,197.5,196.6,303.5,302.2,510.7,529.1,1093.8,1047.2,1543.2,1538.4
59,54.1,51.8,101.2,97.7,197.4,196.6,301.8,302.2,513.3,529.1,1037.8,1047.1,1544.1,1538.5
60,54.2,51.8,94.6,97.6,203.5,196.7,303.2,302.2,512.1,529.5,1050.3,1047.1,1536.5,1538.5
61,50.3,51.8,98.2,97.6,199.5,196.8,300.4,302.2,511.2,530,1038.9,1047,1537.4,1538.5
62,52.6,51.8,99.5,97.7,196.6,196.8,302.8,302.2,522.3,530,1037.9,1046.8,1548.3,1538.6
63,54.3,51.8,96.5,97.6,198.2,196.8,301.8,302.2,519.3,530.3,1051.4,1046.9,1539.8,1538.6
64,52.5,51.8,99.9,97.7,197.2,196.8,303.1,302.2,515.5,530.6,1033.2,1046.7,1542.9,1538.7
65,51.9,51.8,95.9,97.6,195.6,196.8,302.3,302.2,517,530.6,1037.8,1046.6,1549.1,1538.9
66,49.6,51.8,99.4,97.7,200.5,196.9,301,302.2,512.9,530.8,1032.2,1046.4,1540.7,1538.9
67,54.4,51.9,97.4,97.7,197.2,196.9,299.8,302.2,519.1,530.9,1040.9,1046.3,1540.3,1538.9
68,52.1,51.9,98.3,97.7,194.4,196.8,302.9,302.2,509.9,531.2,1036.8,1046.2,1535.8,1538.9
69,51.1,51.8,97.1,97.7,195.8,196.8,302.3,302.2,511,531.2,1039.3,1046.1,1544.7,1538.9
70,51.2,51.8,97.9,97.7,195.1,196.8,306,302.2,514.4,531.5,1044.2,1046,1540,1539
71,50,51.8,97.5,97.7,194.6,196.8,306.8,302.3,511.7,531.4,1043.5,1046,1544,1539
72,54,51.8,102.7,97.7,194.9,196.7,304.2,302.3,516,531.7,1034.9,1045.8,1537.8,1539
73,49.6,51.8,100.4,97.8,194,196.7,304.5,302.3,519.8,531.9,1038.2,1045.7,1544,1539.1
74,51.6,51.8,100.7,97.8,195.1,196.7,303.8,302.4,521.8,531.9,1066.9,1046,1539,1539.1
