,d_mea,d_kalman,
1,2659.9,2659.9,2608.787079
2,2522.4,2625.52,2659.9
3,2670,2634.42,
4,2542.8,2619.15,
5,2589.5,2614.91,
6,2647.1,2618.94,
7,2620.7,2619.13,
8,2604.4,2617.66,
9,2634.9,2619.23,
10,2625.9,2619.78,
11,2645.1,2621.73,
12,2563.8,2617.59,
13,2526.7,2611.53,
14,2619.7,2612.04,
15,2645.7,2614.02,
16,2648,2615.91,
17,2660.9,2618.28,
18,2672.2,2620.98,
19,2679.4,2623.76,
20,2622.6,2623.7,
21,2598.2,2622.6,
22,2639.2,2623.29,
23,2582.2,2621.64,
24,2580.5,2620.06,
25,2621.2,2620.1,
26,2597.4,2619.29,
27,2612.3,2619.05,
28,2541.5,2616.47,
29,2523.1,2613.46,
30,2613.9,2613.47,
31,2615.6,2613.53,
32,2574,2612.37,
33,2524.8,2609.87,
34,2637.1,2610.63,
35,2698.1,2612.99,
36,2688.5,2614.98,
37,2694.8,2617.02,
38,2666,2618.25,
39,2677.3,2619.69,
40,2674,2620.98,
41,2689.1,2622.57,
42,2676.6,2623.79,
43,2585.8,2622.95,
44,2618.9,2622.86,
45,2560.4,2621.53,
46,2665.7,2622.45,
47,2416,2618.24,
48,2566.9,2617.21,
49,2528.1,2615.46,
50,2613.9,2615.43,
51,2664.2,2616.35,
52,2665.2,2617.26,
53,2449.8,2614.21,
54,2438.2,2611.07,
55,2528.4,2609.62,
56,2652.9,2610.37,
57,2672.8,2611.43,
58,2611.5,2611.43,
59,2573.7,2610.81,
60,2593.2,2610.52,
61,2582.9,2610.09,
62,2522.6,2608.72,
63,2491.8,2606.92,
64,2443.4,2604.44,
65,2521.2,2603.2,
66,2534.1,2602.18,
67,2452,2600.01,
68,2480.9,2598.31,
69,2514,2597.12,
70,2447.9,2595.05,
71,2582.1,2594.87,
72,2539.6,2594.12,
73,2492.8,2592.77,
74,2576.7,2592.56,
75,2401.9,2590.08,
76,2442.8,2588.2,
77,2393.8,2585.73,
78,2406.6,2583.5,
79,2378.1,2580.96,
80,2538.4,2580.44,
81,2521.1,2579.73,
82,2558.3,2579.47,
83,2581.9,2579.5,
84,2403.3,2577.45,
85,2354.8,2574.89,
86,2418.1,2573.11,
87,2452.7,2571.76,
88,2532.1,2571.32,
89,2639.9,2572.07,
