,d_mea,d_kalman,
257,1100.8,1070.25,
258,1083.5,1070.3,
259,1088.9,1070.38,
260,1126.3,1070.59,
261,1094.1,1070.68,
262,860.5,1069.88,
263,1141,1070.15,
264,1183.3,1070.58,
265,1108.2,1070.72,
266,1029.8,1070.56,
267,1135.5,1070.81,
268,1074.2,1070.82,
269,1025.6,1070.65,
270,972.2,1070.29,
271,980.4,1069.96,
