,d_mea,d_kalman,
1,1071.3,1071.3,1139.294181
2,1134,1086.98,1149.46
3,1114.6,1092.5,
4,1097.2,1093.28,
5,1110.4,1095.73,
6,1219.4,1111.19,
7,1162,1116.83,
8,1218.2,1126.97,
9,1190.4,1132.74,
10,1126.5,1132.22,
11,1065.1,1127.05,
12,1035.8,1120.54,
13,1093.2,1118.71,
14,1154,1120.92,
15,1089,1119.04,
16,1082.2,1116.99,
17,1179,1120.26,
18,1128.7,1120.68,
19,1164.8,1122.78,
20,1143.4,1123.72,
21,1191.1,1126.65,
22,1187.6,1129.19,
23,1105.2,1128.23,
24,1152.8,1129.17,
25,1162.4,1130.4,
26,1163.3,1131.58,
27,1149.3,1132.19,
28,1133.4,1132.23,
29,1125.6,1132.02,
30,1193.2,1133.93,
31,1134.8,1133.95,
32,1077.3,1132.29,
33,1061.7,1130.27,
34,1064.9,1128.46,
35,1056.5,1126.51,
36,1118.9,1126.31,
37,1131.6,1126.45,
38,1119.5,1126.27,
39,1168.3,1127.3,
40,1169.2,1128.3,
41,1122.7,1128.17,
42,1194.7,1129.68,
43,1128.4,1129.65,
44,1076.5,1128.49,
45,1088.4,1127.64,
46,1117.6,1127.43,
47,1181.9,1128.54,
48,1177.8,1129.53,
49,1180.1,1130.52,
50,1149.3,1130.88,
51,1175.5,1131.72,
52,1147.7,1132.02,
53,1142,1132.2,
54,1166.1,1132.81,
55,1058.3,1131.5,
56,1215,1132.94,
57,1235.5,1134.68,
58,1143.7,1134.83,
59,1113.2,1134.47,
60,1113.7,1134.14,
61,1144.9,1134.31,
62,1068.5,1133.28,
63,1094.8,1132.69,
64,1142.6,1132.84,
65,1128.4,1132.77,
66,1144.7,1132.95,
67,1066.3,1131.98,
68,1109.2,1131.66,
69,1167.4,1132.16,
70,1101,1131.73,
71,1129,1131.69,
72,1145.8,1131.88,
73,1202.1,1132.82,
74,1187.5,1133.54,
75,1185,1134.2,
76,1169.8,1134.66,
77,1120.3,1134.48,
78,1122,1134.32,
79,1138.2,1134.37,
80,1094.5,1133.88,
81,1131.4,1133.85,
82,1173,1134.32,
83,1162.5,1134.65,
84,1097,1134.21,
85,1133.5,1134.21,
86,1115.2,1133.99,
87,1141.3,1134.07,
88,1153.5,1134.29,
89,1188.3,1134.88,
90,1150.8,1135.05,
91,1144.9,1135.16,
92,1146.4,1135.28,
93,1155.5,1135.49,
94,1169.1,1135.84,
95,1111.3,1135.59,
96,1106,1135.29,
97,1128.4,1135.22,
98,1110.4,1134.97,
99,1167.1,1135.29,
100,1148.2,1135.41,
101,1128.6,1135.35,
102,1160.4,1135.59,
103,1157.6,1135.8,
104,1149.7,1135.93,
105,1145.8,1136.02,
106,1132.2,1135.99,
107,1105.3,1135.71,
108,1166.5,1135.99,
109,1153.1,1136.14,
110,1162.6,1136.38,
111,1182,1136.78,
112,1165.6,1137.03,
113,1097.1,1136.68,
114,1121.6,1136.55,
115,1115.6,1136.38,
116,1172.2,1136.68,
117,1145.5,1136.75,
118,1157.1,1136.92,
119,1151.9,1137.05,
120,1135.6,1137.04,
121,1173.7,1137.33,
122,1214,1137.95,
123,1174,1138.24,
124,1164.5,1138.45,
125,1191.9,1138.87,
126,1168.4,1139.1,
127,1149.8,1139.18,
128,1165.2,1139.38,
129,1154.9,1139.5,
130,1185.1,1139.85,
131,1154.1,1139.95,
132,1159.2,1140.1,
133,1114.5,1139.91,
134,1119.5,1139.76,
135,1147.4,1139.81,
136,1163,1139.98,
137,1175.1,1140.23,
138,1163.9,1140.4,
139,1159.4,1140.54,
140,1146.3,1140.58,
141,1145.6,1140.61,
142,1175.3,1140.85,
143,1165.2,1141.02,
144,1164.7,1141.18,
145,1120.6,1141.04,
146,1142.9,1141.06,
147,1161.1,1141.19,
148,1139.8,1141.18,
149,1157.6,1141.29,
150,1142,1141.3,
151,1140.1,1141.29,
152,1151.2,1141.35,
153,1164.4,1141.5,
154,1155.4,1141.59,
155,1159.4,1141.7,
156,1162.8,1141.84,
157,1161.5,1141.96,
158,1180.4,1142.2,
159,1194.4,1142.53,
160,1170.9,1142.7,
161,1134.8,1142.65,
162,1119.9,1142.51,
163,1134.4,1142.46,
164,1152.7,1142.53,
165,1150.1,1142.57,
166,1137.9,1142.54,
167,1130.3,1142.47,
168,1154.8,1142.54,
169,1152.7,1142.6,
170,1134.2,1142.55,
171,1107,1142.35,
172,1137.9,1142.32,
173,1137,1142.29,
174,1188.9,1142.56,
175,1170.6,1142.72,
176,1160.7,1142.82,
177,1154.9,1142.88,
178,1163.5,1143,
179,1144.6,1143.01,
180,1167.6,1143.14,
181,1180.8,1143.35,
182,1170.3,1143.5,
183,1185.6,1143.72,
184,1185.7,1143.95,
185,1178,1144.13,
186,1177.6,1144.31,
187,1172.4,1144.46,
188,1193.1,1144.71,
189,1205.9,1145.03,
190,1185.6,1145.24,
191,1176.3,1145.41,
192,1185.1,1145.61,
193,1179.5,1145.78,
194,1191.7,1146.02,
195,1177.1,1146.18,
196,1193.3,1146.41,
197,1140.1,1146.38,
198,1163.6,1146.47,
199,1160.8,1146.54,
200,1185.6,1146.73,
201,1176.3,1146.88,
202,1191,1147.1,
203,1154.4,1147.13,
204,1153.1,1147.16,
205,1158.2,1147.21,
206,1149.6,1147.22,
207,1148.8,1147.23,
208,1124.2,1147.12,
209,1150.1,1147.14,
210,1177.1,1147.28,
211,1173.6,1147.4,
212,1182.6,1147.57,
213,1163.2,1147.64,
214,1151.4,1147.66,
215,1180.9,1147.81,
216,1127.7,1147.72,
217,1173.2,1147.83,
218,1175.8,1147.96,
219,1199.6,1148.19,
220,1163.5,1148.26,
221,1168.5,1148.35,
222,1170.2,1148.45,
223,1137.3,1148.4,
224,1139.7,1148.36,
225,1132.4,1148.29,
226,1163.2,1148.36,
227,1162.5,1148.42,
228,1141.7,1148.39,
229,1123,1148.28,
230,1177.7,1148.41,
231,1186.4,1148.57,
232,1133.6,1148.51,
233,1195.7,1148.71,
234,1142.7,1148.68,
235,1180,1148.81,
236,1160.2,1148.86,
237,1151.2,1148.87,
238,1158.6,1148.91,
239,1135.3,1148.86,
240,1187.5,1149.02,
241,1159.6,1149.06,
242,1146.1,1149.05,
243,1160.4,1149.09,
244,1147.9,1149.09,
245,1163.1,1149.15,
246,1167.2,1149.22,
247,1157,1149.25,
248,1144.8,1149.23,
249,1133.4,1149.17,
250,1120.7,1149.06,
251,1164.1,1149.12,
252,1165.5,1149.18,
253,1176.2,1149.29,
254,1132.9,1149.22,
255,1136.2,1149.17,
256,1128.7,1149.09,
257,1150.2,1149.1,
258,1191.1,1149.26,
259,1131,1149.19,
260,1157.2,1149.22,
261,1179.8,1149.33,
262,1183.1,1149.46,
263,1112.1,1149.32,
264,1152.9,1149.33,
265,1101.8,1149.16,
266,1131.3,1149.09,
267,1136.8,1149.04,
268,1134.3,1148.99,
269,1157.5,1149.02,
270,1138.9,1148.98,
271,1109.6,1148.84,
272,1131.1,1148.78,
273,1151.7,1148.79,
274,1158.3,1148.82,
275,1129.6,1148.75,
276,1148.1,1148.75,
277,1179.5,1148.86,
278,1149.9,1148.86,
279,1113.3,1148.74,
280,1161.7,1148.78,
281,1137.1,1148.74,
282,1126.8,1148.66,
283,1095.4,1148.48,
284,1190.6,1148.62,
285,1144.7,1148.61,
286,1102.9,1148.45,
287,1089.6,1148.25,
288,1165.1,1148.31,
289,1260.3,1148.69,
290,1152.8,1148.7,
291,1149,1148.71,
292,1096.8,1148.53,
293,1114.6,1148.41,
294,1157.7,1148.45,
295,1101.9,1148.29,
296,1090.2,1148.09,
297,1149.1,1148.1,
298,1106,1147.96,
299,1177.5,1148.06,
