stt,d_mea,d_kalman,
242,990.1,831.99,
243,915.4,832.33,
244,830.4,832.33,
245,862.6,832.45,
246,849.1,832.51,
247,899.5,832.78,
248,883.4,832.99,
249,754.8,832.67,
250,643.3,831.92,
251,815.6,831.86,
252,835.8,831.87,
253,856.1,831.97,
254,864.5,832.1,
255,921.7,832.45,
256,920.9,832.79,
257,885,832.99,
258,894.2,833.22,
259,844.3,833.27,
260,897,833.51,
261,953,833.96,
262,916.4,834.28,
263,870.3,834.41,
264,870.6,834.55,
265,780.8,834.35,
266,809.3,834.25,
267,740.5,833.91,
268,735.1,833.54,
269,796.1,833.4,
270,792.6,833.25,
271,828.7,833.24,
272,819.9,833.19,
273,829.5,833.17,
274,700,832.69,
275,822.6,832.65,
276,818.7,832.6,
277,573.3,831.67,
278,912,831.96,
279,752,831.68,
280,878,831.84,
281,838.8,831.87,
