stt,d_mea,d_kalman,
1,892.6,892.6,829.4777936
2,855.6,883.35,892.6
3,844.1,875.5,
4,869.3,874.47,
5,831.7,868.36,
6,862.1,867.58,
7,882.9,869.28,
8,857.4,868.09,
9,835.5,865.13,
10,868.9,865.44,
11,830.2,862.73,
12,853.3,862.06,
13,857.4,861.75,
14,871.3,862.34,
15,875.7,863.13,
16,817.9,860.62,
17,828.8,858.94,
18,872,859.59,
19,900,861.52,
20,849.6,860.98,
21,866.3,861.21,
22,849.1,860.7,
23,839.8,859.87,
24,825.3,858.54,
25,861.8,858.66,
26,853.9,858.49,
27,863.3,858.66,
28,825.3,857.54,
29,858.3,857.57,
30,854,857.46,
31,887.8,858.38,
32,828.9,857.51,
33,831,856.75,
34,839.1,856.26,
35,847.1,856.01,
36,814.3,854.92,
37,838.3,854.49,
38,822.3,853.69,
39,844.2,853.45,
40,851.6,853.41,
41,869.3,853.78,
42,843.3,853.54,
43,840.2,853.24,
44,845.9,853.08,
45,815.1,852.28,
46,886.6,852.99,
47,943.7,854.84,
48,849.7,854.74,
49,853.3,854.71,
50,834.2,854.32,
51,799,853.27,
52,770.1,851.73,
53,679.2,848.6,
54,696.8,845.89,
55,726.1,843.78,
56,730.4,841.83,
57,819.4,841.45,
58,713.6,839.32,
59,736.9,837.64,
60,748,836.19,
61,792.2,835.5,
62,784.2,834.69,
63,803.5,834.21,
64,771.1,833.26,
65,774.1,832.37,
66,803,831.94,
67,769.3,831.03,
68,816.6,830.83,
69,805.6,830.47,
70,750.1,829.36,
71,746.9,828.23,
72,730.1,826.9,
73,740.5,825.75,
74,754.8,824.82,
75,762.8,824.01,
76,773.8,823.37,
77,716.8,822.02,
78,769.3,821.36,
79,751.2,820.49,
80,748.4,819.61,
81,789.6,819.25,
82,776.1,818.74,
83,775.8,818.23,
84,824.2,818.3,
85,723.8,817.22,
86,795.2,816.97,
87,804.3,816.82,
88,824.7,816.91,
89,744.7,816.12,
90,792.2,815.86,
91,810.4,815.8,
92,767.7,815.29,
93,771,814.82,
94,830.4,814.98,
95,778,814.6,
96,763.9,814.08,
97,797,813.91,
98,768.2,813.46,
99,770.1,813.03,
100,818.8,813.08,
101,798.8,812.94,
102,796.5,812.79,
103,811.2,812.77,
104,851.8,813.14,
105,802.1,813.04,
106,802.7,812.94,
107,854.8,813.32,
108,749.8,812.75,
109,820.8,812.82,
110,812.5,812.82,
111,852.6,813.17,
112,776.4,812.85,
113,818.1,812.89,
114,778.1,812.59,
115,870.8,813.09,
116,860,813.49,
117,784.9,813.25,
118,796.8,813.11,
119,810.8,813.09,
120,784.8,812.86,
121,777.6,812.57,
122,771.3,812.24,
123,750.4,811.74,
124,755.7,811.3,
125,799.6,811.21,
126,775.6,810.93,
127,842.5,811.17,
128,788.9,811,
129,786.8,810.82,
130,810.9,810.82,
131,828.5,810.95,
132,756,810.54,
133,687.2,809.63,
134,604,808.12,
135,795.4,808.02,
136,875.9,808.51,
137,905,809.21,
138,737.5,808.7,
139,886.4,809.25,
140,860.8,809.61,
141,879.9,810.1,
142,927.1,810.91,
143,958.7,811.93,
144,660.7,810.9,
145,806.1,810.87,
146,731.3,810.33,
147,640.1,809.19,
148,781.8,809,
149,746.5,808.59,
150,648.3,807.53,
151,788.3,807.41,
152,865.2,807.78,
153,851,808.06,
154,908.3,808.71,
155,874.2,809.12,
156,874.3,809.53,
157,864.2,809.88,
158,854.5,810.16,
159,923.6,810.86,
160,874.8,811.26,
161,900.9,811.81,
162,883.8,812.25,
163,857.7,812.52,
164,909.1,813.1,
165,936.1,813.84,
166,897.6,814.34,
167,895.4,814.82,
168,917.6,815.42,
169,862.1,815.7,
170,885.7,816.1,
171,945.9,816.85,
172,920.8,817.45,
173,866.9,817.73,
174,895,818.17,
175,954.2,818.94,
176,885.6,819.31,
177,887.1,819.69,
178,916.3,820.23,
179,885.6,820.59,
180,879.6,820.92,
181,865,821.16,
182,858.1,821.36,
183,845.6,821.49,
184,856,821.67,
185,882.4,822,
186,883.3,822.32,
187,880.6,822.63,
188,878.6,822.93,
189,888,823.27,
190,862.6,823.47,
191,847.5,823.6,
192,885.8,823.92,
193,849.4,824.05,
194,862.6,824.25,
195,859.9,824.43,
196,841.6,824.51,
197,881.2,824.8,
198,867.4,825.01,
199,872.7,825.25,
200,831.2,825.28,
201,849.8,825.4,
202,867.8,825.61,
203,825,825.6,
204,887.7,825.9,
205,856.3,826.05,
206,851.3,826.17,
207,862.3,826.35,
208,840.1,826.41,
209,879.4,826.66,
210,887.2,826.95,
211,881.1,827.2,
212,843.9,827.28,
213,878.6,827.52,
214,865.8,827.7,
215,882.2,827.95,
216,877,828.17,
217,862.9,828.33,
218,871.1,828.53,
219,877.7,828.75,
220,860.4,828.89,
221,848,828.98,
222,852.8,829.08,
223,865.8,829.25,
224,857.8,829.37,
225,853.4,829.48,
226,875.6,829.68,
227,835.9,829.71,
228,850.6,829.8,
229,868.6,829.97,
230,852.4,830.06,
231,831.4,830.07,
232,857.9,830.19,
233,836.7,830.22,
234,831.5,830.22,
235,863.8,830.36,
236,827.2,830.35,
237,819.4,830.3,
238,831.9,830.31,
239,869,830.47,
240,926.8,830.87,
241,945.9,831.34,
