d1(cm),d_real(cm),d_mea(cm),d2(cm),d_real(cm),d_mea(cm),d3(cm),d_real(cm),d_mea(cm),d4(cm),d_real(cm),d_mea(cm),d5(cm),d_real(cm),d_mea(cm),d6(cm),d_real(cm),d_mea(cm),d7(cm),d_real(cm),d_mea(cm)
51.2,,,97.9,,,195.1,,,306,,,552.2,,,1044.2,,,1540,,
50,,,97.5,,,194.6,,,306.8,,,525.8,,,1043.5,,,1544,,
54,,,102.7,,,194.9,,,304.2,,,553.2,,,1034.9,,,1537.8,,
49.6,,,100.4,,,194,,,304.5,,,547.5,,,1038.2,,,1544,,
51.6,,,100.7,,,195.1,,,303.8,,,528.3,,,1066.9,,,1539,,
52.2,,,92.7,,,194.1,,,306.4,,,523.7,,,1034,,,1543.6,,
55.7,,,101.8,,,194.7,,,305.5,,,546.3,,,1039.9,,,1538.8,,
49.2,,,97.1,,,191.1,,,302.6,,,538.8,,,1037.5,,,1537.5,,
54.3,,,100.7,,,191.9,,,302.7,,,539.8,,,1043.6,,,1542.5,,
51.6,,,100.7,,,197.8,,,305.1,,,528.1,,,1028.6,,,1531.5,,
54.6,,,102,,,196,,,301.3,,,552,,,1033.9,,,1538.1,,
52,,,100.2,,,195.2,,,305.5,,,532.8,,,1043.2,,,1567.9,,
50.7,,,102,,,190.8,,,300.4,,,524.3,,,1031.6,,,1542.8,,
49.9,,,98.9,,,193.3,,,302.4,,,551.9,,,1039.3,,,1538.2,,
54.9,,,105.1,,,196.7,,,302.3,,,522.5,,,1037.2,,,1544.7,,
49.8,,,101.7,,,196.2,,,301.2,,,546.3,,,1041.6,,,1549.1,,
51.1,,,99.8,,,195.3,,,303.3,,,525.3,,,1037.3,,,1542.8,,
49.9,,,100.3,,,196.1,,,303.3,,,517.8,,,1044.1,,,1538.8,,
53.5,,,99.8,,,198.3,,,306,,,550.2,,,1035.1,,,1541.5,,
50.7,,,100.4,,,194.6,,,304,,,507.4,,,1048.1,,,1544.7,,
53.7,,,99.8,,,199.6,,,301,,,512.3,,,1030.5,,,1542.2,,
45.4,,,98,,,195.1,,,301.8,,,504.4,,,1038.2,,,1536.6,,
51.7,,,99.5,,,195.7,,,302.1,,,502.2,,,1039.2,,,1538,,
48.5,,,102.7,,,197.5,,,303.2,,,508.8,,,1038.7,,,1541.3,,
54.3,,,104.7,,,195.5,,,302.5,,,511.8,,,1042.7,,,1542.2,,
54.9,,,99.2,,,195.3,,,306.3,,,505.5,,,1067.4,,,1541.3,,
52.9,,,98.1,,,201.3,,,303.2,,,536.2,,,1031.8,,,1542.2,,
52.3,,,99.5,,,196.5,,,302.6,,,525.4,,,1044.4,,,1545.4,,
51.2,,,105.7,,,195.6,,,305.1,,,534.6,,,1039.1,,,1543.1,,
57.6,,,104.4,,,196.3,,,303.6,,,524.5,,,1042.7,,,1535.6,,
51.7,,,104.7,,,197.9,,,301.5,,,520.2,,,1038.7,,,1536.7,,
54.1,,,100.7,,,197.9,,,301.6,,,524.6,,,1048.1,,,1541.1,,
53.9,,,99.6,,,193.7,,,299.9,,,529.3,,,1065.1,,,1536.8,,
56,,,99.2,,,195,,,304.8,,,533.9,,,1067,,,1532.7,,
49.6,,,103,,,197.8,,,302.2,,,507.1,,,1038.7,,,1537.4,,
51.4,,,102.2,,,195.1,,,304.5,,,523.1,,,1033,,,1543.1,,
48.8,,,101,,,195.8,,,302.4,,,572.4,,,1033.1,,,1539.9,,
56.5,,,99.7,,,199.2,,,301.2,,,520.7,,,1031.8,,,1538.2,,
59.3,,,100.3,,,197.2,,,300.7,,,520.2,,,1038,,,1544,,
51.9,,,99.9,,,196.9,,,302.9,,,579.3,,,1042.5,,,1542.7,,
48.9,,,98.8,,,194.6,,,307.3,,,514.1,,,1035.8,,,1531.5,,
51.8,,,100.9,,,194.3,,,301.6,,,523.3,,,1036.7,,,1533.7,,
50,,,103.2,,,195.9,,,301.5,,,512.3,,,1061.3,,,1538.2,,
49.9,,,102.1,,,195.2,,,303.8,,,510.4,,,1037.2,,,1541.1,,
51,,,98.2,,,197.8,,,303.4,,,513.3,,,1042.4,,,1540.9,,
54.5,,,99,,,193.8,,,300.9,,,514.1,,,1035.7,,,1538.3,,
51.4,,,104.4,,,198.4,,,304.8,,,512.7,,,1042.9,,,1545.8,,
54.2,,,101.3,,,195.1,,,305.4,,,514.6,,,1033.1,,,1544.9,,
53.4,,,102.6,,,195.4,,,305.4,,,511.8,,,1040.9,,,1541.9,,
56.7,,,104.5,,,194.7,,,304.5,,,516.5,,,1035.8,,,1544.4,,
51.1,,,98,,,195.3,,,303.4,,,509.6,,,1045.2,,,1535.1,,
53.4,,,96.7,,,195.7,,,304.3,,,515.8,,,1068.1,,,1535.2,,
55,,,102.4,,,198.1,,,301.4,,,505.4,,,1039.1,,,1534.3,,
49.8,,,102.4,,,197.3,,,301.2,,,512.3,,,1047.9,,,1541,,
55,,,101.5,,,193.9,,,302.2,,,516,,,1041,,,1543.6,,
52.8,,,102,,,197.9,,,303.5,,,512,,,1036.9,,,1543.9,,
51.6,,,100.5,,,198.6,,,300.2,,,511.9,,,1040.3,,,1545.2,,
49.6,,,98,,,196.5,,,303.4,,,509.9,,,1040.3,,,1538.6,,
53.1,,,102.9,,,197.3,,,303.5,,,514.2,,,1045.2,,,1539.6,,
52.1,,,104.1,,,198.2,,,303.5,,,512.4,,,1043.7,,,1538.3,,
49,,,100.5,,,197.1,,,304,,,508.4,,,1042,,,1544.8,,
52.1,,,102.5,,,196,,,303.6,,,515.9,,,1042.5,,,1542.4,,
51.6,,,100.5,,,199.3,,,303.9,,,516.7,,,1076.6,,,1540,,
52.2,,,97.7,,,196.1,,,302.9,,,514.4,,,1039.4,,,1542.3,,
57.2,,,99.3,,,194.1,,,307,,,515,,,1068.9,,,1540.2,,
51.7,,,101.1,,,197.1,,,305.5,,,509.3,,,1066.1,,,1539.2,,
51.7,,,100.1,,,198.4,,,306.6,,,515.6,,,1036.2,,,1536.6,,
57.4,,,102,,,195.5,,,305,,,512.9,,,1030.7,,,1538,,
50.9,,,99.1,,,193.5,,,303.2,,,505.5,,,1052.7,,,1540.6,,
49.9,,,100.9,,,198.6,,,302.8,,,512.5,,,1056.2,,,1539.6,,
50.1,,,101.8,,,197.1,,,299.5,,,516,,,1063.7,,,1542.9,,
52,,,98.9,,,197.7,,,301.7,,,516.8,,,1044.2,,,1538.7,,
