,x,y,x_kalman,y_kalman,sai số ,,sai số kalman,
116,1,5.77,0.99,5.61,0,,0.01,
117,1,5.71,0.99,5.65,0,,0.01,
118,0.94,5.74,0.97,5.69,0.06,,0.03,
119,1.11,5.92,1.03,5.79,0.11,,0.03,
120,0.93,5.95,0.99,5.86,0.07,,0.01,
121,0.99,5.98,0.99,5.91,0.01,,0.01,
122,0.96,6.04,0.98,5.97,0.04,,0.02,
123,1.07,6,1.02,5.98,0.07,,0.02,
124,1.04,5.85,1.03,5.92,0.04,,0.03,
125,0.92,6.22,0.98,6.05,0.08,,0.02,
126,1.11,5.95,1.04,6.01,0.11,,0.04,
127,0.96,6.29,1,6.13,0.04,,0,
128,0.92,6.33,0.97,6.22,0.08,,0.03,
129,0.99,6.2,0.98,6.21,0.01,,0.02,
130,1.01,6.39,0.99,6.29,0.01,,0.01,
131,0.96,6.4,0.98,6.34,0.04,,0.02,
132,0.98,6.54,0.98,6.42,0.02,,0.02,
133,1.04,6.6,1.01,6.5,0.04,,0.01,
134,0.99,6.42,1,6.47,0.01,,0,
135,1.06,6.69,1.03,6.56,0.06,,0.03,
136,1.01,6.63,1.02,6.59,0.01,,0.02,
137,1.05,6.69,1.03,6.63,0.05,,0.03,
138,1.09,6.47,1.06,6.56,0.09,,0.06,
139,0.92,6.75,1,6.64,0.08,,0,
140,1.04,6.97,1.02,6.79,0.04,,0.02,
141,0.95,6.86,0.99,6.82,0.05,,0.01,
142,1.01,7.08,1,6.93,0.01,,0,
143,1.01,7.13,1,7.02,0.01,,0,
144,0.99,7.11,1,7.06,0.01,,0,
145,0.96,7,0.98,7.03,0.04,,0.02,
146,1.06,6.96,1.02,7,0.06,,0.02,
147,1.11,7.1,1.06,7.04,0.11,,0.06,
148,1.03,7.33,1.04,7.17,0.03,,0.04,
149,0.95,7.37,1,7.26,0.05,,0,
150,1.04,7.32,1.02,7.28,0.04,,0.02,
151,0.99,7.49,1.01,7.37,0.01,,0.01,
152,1,7.45,1,7.41,0,,0,
153,1.06,7.63,1.03,7.5,0.06,,0.03,
154,0.98,7.5,1.01,7.5,0.02,,0.01,
155,1.06,7.68,1.03,7.58,0.06,,0.03,
156,1.04,7.75,1.03,7.65,0.04,,0.03,
157,0.98,7.7,1.01,7.67,0.02,,0.01,
158,1.03,7.83,1.02,7.74,0.03,,0.02,
159,0.96,7.59,0.99,7.68,0.04,,0.01,
160,0.94,7.8,0.97,7.73,0.06,,0.03,
161,0.97,7.89,0.97,7.8,0.03,,0.03,
162,1,7.8,0.98,7.8,0,,0.02,
163,1.06,8.11,1.02,7.93,0.06,,0.02,
164,1.1,8.05,1.05,7.98,0.1,,0.05,
165,1.1,8.24,1.07,8.1,0.1,,0.07,
166,1.1,8.25,1.08,8.16,0.1,,0.08,
167,1.07,8.03,1.08,8.11,0.07,,0.08,
