x1,y1,val_x1,val_y1,x1_kalman,y1_kalman,x2,y2,val_x2,val_y2,x2_kalman,y2_kalman,Sai_lech_tb_x1y1,Sai_lech_tb_x2y2,sai_lech_kalman_x1y1,sai_lech_kalman_x1y2
0.89,5.09,,,1.01,5.08,2.24,10.13,,,2.19,10.27,0.14,0.27,0.080622577,0.33015148
0.95,5.24,,,1,5.08,2.27,10.19,,,2.19,10.27,0.25,0.33,0.08,0.33015148
0.97,4.99,,,1,5.08,2.17,10.36,,,2.19,10.27,0.03,0.4,0.08,0.33015148
0.88,4.99,,,1,5.08,2.17,10.29,,,2.19,10.27,0.12,0.33,0.08,0.33015148
0.98,4.99,,,1,5.08,2.12,10.37,,,2.19,10.27,0.03,0.39,0.08,0.33015148
0.93,5.21,,,1,5.08,2.07,10.31,,,2.19,10.27,0.22,0.32,0.08,0.33015148
1.11,5.01,,,1,5.08,2.2,10.19,,,2.19,10.27,0.11,0.28,0.08,0.33015148
1.1,5.04,,,1,5.08,2.24,10.22,,,2.19,10.27,0.1,0.32,0.08,0.33015148
0.91,5.07,,,1,5.08,2.1,10.27,,,2.19,10.27,0.11,0.29,0.08,0.33015148
1.11,4.94,,,1,5.08,2.12,10.27,,,2.18,10.27,0.12,0.3,0.08,0.324499615
1.09,5.02,,,1.01,5.08,2.17,10.36,,,2.18,10.27,0.1,0.39,0.080622577,0.324499615
1.05,5.02,,,1.01,5.07,2.1,10.35,,,2.18,10.27,0.05,0.36,0.070710678,0.324499615
0.9,5.05,,,1,5.07,2.14,10.3,,,2.18,10.27,0.11,0.33,0.07,0.324499615
0.9,5.22,,,1,5.08,2.19,10.32,,,2.18,10.27,0.24,0.37,0.08,0.324499615
0.95,5.02,,,1,5.08,2.24,10.15,,,2.18,10.27,0.05,0.28,0.08,0.324499615
1.1,5.15,,,1,5.08,2.07,10.17,,,2.18,10.27,0.18,0.19,0.08,0.324499615
1.1,5.09,,,1,5.08,2.12,10.36,,,2.18,10.27,0.13,0.38,0.08,0.324499615
0.92,5.24,,,1,5.08,2.19,10.26,,,2.18,10.27,0.25,0.32,0.08,0.324499615
1.01,5.15,,,1,5.08,2.13,10.16,,,2.18,10.27,0.15,0.21,0.08,0.324499615
0.95,5.18,,,1,5.08,2.15,10.29,,,2.18,10.27,0.19,0.33,0.08,0.324499615
1.02,4.96,,,1,5.08,2.28,10.26,,,2.18,10.27,0.04,0.38,0.08,0.324499615
0.97,5.12,,,1,5.08,2.26,10.28,,,2.18,10.27,0.13,0.38,0.08,0.324499615
1.11,4.96,,,1,5.08,2.28,10.29,,,2.18,10.27,0.11,0.4,0.08,0.324499615
0.92,5.2,,,1,5.08,2.21,10.3,,,2.18,10.27,0.21,0.37,0.08,0.324499615
0.92,4.98,,,1,5.08,2.28,10.25,,,2.19,10.27,0.08,0.37,0.08,0.33015148
1.02,5.06,,,1,5.08,2.07,10.27,,,2.18,10.27,0.06,0.28,0.08,0.324499615
0.89,5,,,1,5.08,2.14,10.18,,,2.18,10.27,0.11,0.23,0.08,0.324499615
0.97,5.07,,,1,5.08,2.22,10.16,,,2.18,10.27,0.08,0.27,0.08,0.324499615
0.91,5.01,,,1,5.08,2.21,10.26,,,2.18,10.27,0.1,0.34,0.08,0.324499615
1,4.96,,,1,5.08,2.24,10.23,,,2.18,10.27,0.04,0.33,0.08,0.324499615
0.94,5.13,,,1,5.08,2.15,10.21,,,2.18,10.27,0.14,0.25,0.08,0.324499615
1.08,5.09,,,1,5.08,2.06,10.34,,,2.18,10.27,0.12,0.35,0.08,0.324499615
1.11,5.21,,,1,5.08,2.15,10.36,,,2.18,10.27,0.24,0.39,0.08,0.324499615
1.08,5.02,,,1,5.08,2.23,10.35,,,2.18,10.27,0.09,0.42,0.08,0.324499615
1.09,5.03,,,1,5.08,2.26,10.32,,,2.18,10.27,0.09,0.41,0.08,0.324499615
0.98,5.03,,,1,5.08,2.1,10.3,,,2.18,10.27,0.04,0.32,0.08,0.324499615
1,5.13,,,1,5.08,2.09,10.23,,,2.18,10.27,0.13,0.25,0.08,0.324499615
1.05,4.95,,,1,5.08,2.25,10.32,,,2.18,10.27,0.07,0.41,0.08,0.324499615
0.98,5.11,,,1,5.08,2.19,10.18,,,2.18,10.27,0.12,0.26,0.08,0.324499615
1.09,4.97,,,1,5.07,2.22,10.25,,,2.18,10.27,0.09,0.33,0.07,0.324499615
0.94,5.15,,,1,5.08,2.2,10.18,,,2.18,10.27,0.16,0.28,0.08,0.324499615
1.03,5.03,,,1,5.07,2.08,10.17,,,2.18,10.27,0.05,0.19,0.07,0.324499615
0.9,4.98,,,1,5.07,2.16,10.37,,,2.18,10.27,0.1,0.4,0.07,0.324499615
1.05,5.03,,,1,5.07,2.24,10.32,,,2.18,10.27,0.06,0.4,0.07,0.324499615
1.02,5.18,,,1,5.07,2.19,10.35,,,2.18,10.27,0.18,0.4,0.07,0.324499615
0.95,5.22,,,1,5.08,2.09,10.15,,,2.18,10.27,0.22,0.17,0.08,0.324499615
1.02,5.24,,,1,5.08,2.17,10.16,,,2.18,10.27,0.24,0.24,0.08,0.324499615
0.92,5.22,,,1,5.08,2.25,10.29,,,2.18,10.27,0.24,0.38,0.08,0.324499615
0.96,5.04,,,1,5.08,2.1,10.37,,,2.18,10.27,0.06,0.38,0.08,0.324499615
0.99,5.01,,,1,5.08,2.16,10.36,,,2.18,10.27,0.01,0.39,0.08,0.324499615
