d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),,52.7,53.13290793
,,,,,,,,,,,,,,,,52.2,
,,,,,,,,,,,,,,,,52.9,
,,,,,,,,,,,,,,,,50.8,
,,,,,,,,,,,,,,,,49.3,
,,,,,,,,,,,,,,,,50.7,
,,,,,,,,,,,,,,,,55.4,
,,,,,,,,,,,,,,,,50.4,
,,,,,,,,,,,,,,,,51.7,
,,,,,,,,,,,,,,,,52.6,
,,,,,,,,,,,,,,,,48.9,
,,,,,,,,,,,,,,,,50.3,
,,,,,,,,,,,,,,,,52.1,
,,,,,,,,,,,,,,,,51.2,
,,,,,,,,,,,,,,,,53.2,
,,,,,,,,,,,,,,,,47.6,
,,,,,,,,,,,,,,,,48.9,
,,,,,,,,,,,,,,,,52,
,,,,,,,,,,,,,,,,50.1,
,,,,,,,,,,,,,,,,48.7,
,,,,,,,,,,,,,,,,52.5,
,,,,,,,,,,,,,,,,48.7,
,,,,,,,,,,,,,,,,54.6,
,,,,,,,,,,,,,,,,59.3,
,,,,,,,,,,,,,,,,51.7,
,,,,,,,,,,,,,,,,50.2,
,,,,,,,,,,,,,,,,52.9,
,,,,,,,,,,,,,,,,48.8,
,,,,,,,,,,,,,,,,52.3,
,,,,,,,,,,,,,,,,54.7,
,,,,,,,,,,,,,,,,49.8,
,,,,,,,,,,,,,,,,51.7,
,,,,,,,,,,,,,,,,53.2,
,,,,,,,,,,,,,,,,54.8,
,,,,,,,,,,,,,,,,56.4,
,,,,,,,,,,,,,,,,55.2,
,,,,,,,,,,,,,,,,50.1,
,,,,,,,,,,,,,,,,47.5,
,,,,,,,,,,,,,,,,52.8,
,,,,,,,,,,,,,,,,47.3,
,,,,,,,,,,,,,,,,54.6,
,,,,,,,,,,,,,,,,50,
,,,,,,,,,,,,,,,,54.9,
,,,,,,,,,,,,,,,,46.7,
,,,,,,,,,,,,,,,,57.8,
,,,,,,,,,,,,,,,,53.4,
,,,,,,,,,,,,,,,,46.1,
,,,,,,,,,,,,,,,,46.5,
,,,,,,,,,,,,,,,,49.4,
,,,,,,,,,,,,,,,,55,
,,,,,,,,,,,,,,,,49.9,
,,,,,,,,,,,,,,,,53,
,,,,,,,,,,,,,,,,53.4,
,,,,,,,,,,,,,,,,49.9,
,,,,,,,,,,,,,,,,49.7,
,,,,,,,,,,,,,,,,47.8,
,,,,,,,,,,,,,,,,51.9,
,,,,,,,,,,,,,,,,52.1,
,,,,,,,,,,,,,,,,49.8,
,,,,,,,,,,,,,,,,47.5,
,,,,,,,,,,,,,,,,49.2,
,,,,,,,,,,,,,,,,51.3,
,,,,,,,,,,,,,,,,51.6,
,,,,,,,,,,,,,,,,55.5,
,,,,,,,,,,,,,,,,48.7,
,,,,,,,,,,,,,,,,51.8,
,,,,,,,,,,,,,,,,50.7,
,,,,,,,,,,,,,,,,52.4,
,,,,,,,,,,,,,,,,50.1,
,,,,,,,,,,,,,,,,52.2,
,,,,,,,,,,,,,,,,53.3,
,,,,,,,,,,,,,,,,57.7,
,,,,,,,,,,,,,,,,52.8,
,,,,,,,,,,,,,,,,53.2,
,,,,,,,,,,,,,,,,52.5,
,,,,,,,,,,,,,,,,53.5,
,,,,,,,,,,,,,,,,52.6,
,,,,,,,,,,,,,,,,57.8,
,,,,,,,,,,,,,,,,46.9,
,,,,,,,,,,,,,,,,57,
,,,,,,,,,,,,,,,,50.9,
,,,,,,,,,,,,,,,,49.4,
,,,,,,,,,,,,,,,,52.5,
,,,,,,,,,,,,,,,,53.9,
,,,,,,,,,,,,,,,,52.4,
,,,,,,,,,,,,,,,,51.1,
,,,,,,,,,,,,,,,,54.6,
,,,,,,,,,,,,,,,,46.6,
,,,,,,,,,,,,,,,,50.3,
,,,,,,,,,,,,,,,,46.2,
,,,,,,,,,,,,,,,,53.7,
,,,,,,,,,,,,,,,,49,
,,,,,,,,,,,,,,,,47.5,
,,,,,,,,,,,,,,,,52.8,
,,,,,,,,,,,,,,,,51.7,
,,,,,,,,,,,,,,,,48.4,
,,,,,,,,,,,,,,,,56.4,
,,,,,,,,,,,,,,,,50.5,
,,,,,,,,,,,,,,,,51.6,
,,,,,,,,,,,,,,,,50.9,
,,,,,,,,,,,,,,,,49.7,
,,,,,,,,,,,,,,,,51.4,
,,,,,,,,,,,,,,,,56.2,
,,,,,,,,,,,,,,,,48.6,
,,,,,,,,,,,,,,,,53.4,
,,,,,,,,,,,,,,,,49.6,
,,,,,,,,,,,,,,,,52.8,
,,,,,,,,,,,,,,,,51.8,
,,,,,,,,,,,,,,,,55.1,
,,,,,,,,,,,,,,,,53.9,
,,,,,,,,,,,,,,,,51.3,
,,,,,,,,,,,,,,,,49.2,
,,,,,,,,,,,,,,,,52.5,
,,,,,,,,,,,,,,,,55.3,
,,,,,,,,,,,,,,,,51.9,
,,,,,,,,,,,,,,,,51.4,
,,,,,,,,,,,,,,,,51.3,
,,,,,,,,,,,,,,,,49.2,
,,,,,,,,,,,,,,,,51.3,
,,,,,,,,,,,,,,,,46.3,
,,,,,,,,,,,,,,,,58.1,
,,,,,,,,,,,,,,,,49.8,
,,,,,,,,,,,,,,,,51.9,
,,,,,,,,,,,,,,,,46.8,
,,,,,,,,,,,,,,,,53.5,
,,,,,,,,,,,,,,,,56.7,
,,,,,,,,,,,,,,,,56.6,
,,,,,,,,,,,,,,,,50,
,,,,,,,,,,,,,,,,59.1,
,,,,,,,,,,,,,,,,52.9,
,,,,,,,,,,,,,,,,54.2,
,,,,,,,,,,,,,,,,53.8,
,,,,,,,,,,,,,,,,54.4,
,,,,,,,,,,,,,,,,52.2,
,,,,,,,,,,,,,,,,46.4,
,,,,,,,,,,,,,,,,52.5,
,,,,,,,,,,,,,,,,58.3,
,,,,,,,,,,,,,,,,52,
,,,,,,,,,,,,,,,,46.3,
,,,,,,,,,,,,,,,,52.6,
,,,,,,,,,,,,,,,,49.5,
,,,,,,,,,,,,,,,,51.8,
,,,,,,,,,,,,,,,,50.9,
,,,,,,,,,,,,,,,,54.2,
,,,,,,,,,,,,,,,,53,
,,,,,,,,,,,,,,,,50.8,
,,,,,,,,,,,,,,,,58.3,
,,,,,,,,,,,,,,,,49.2,
,,,,,,,,,,,,,,,,61.5,
,,,,,,,,,,,,,,,,52.5,
,,,,,,,,,,,,,,,,53.1,
,,,,,,,,,,,,,,,,49.5,
,,,,,,,,,,,,,,,,60.1,
,,,,,,,,,,,,,,,,51.9,
,,,,,,,,,,,,,,,,48.9,
,,,,,,,,,,,,,,,,51.3,
,,,,,,,,,,,,,,,,51.8,
,,,,,,,,,,,,,,,,51.2,
,,,,,,,,,,,,,,,,53.4,
,,,,,,,,,,,,,,,,58.8,
,,,,,,,,,,,,,,,,55.3,
,,,,,,,,,,,,,,,,52.5,
,,,,,,,,,,,,,,,,53.6,
,,,,,,,,,,,,,,,,51.6,
,,,,,,,,,,,,,,,,53.4,
,,,,,,,,,,,,,,,,50.9,
,,,,,,,,,,,,,,,,54.8,
,,,,,,,,,,,,,,,,49.6,
,,,,,,,,,,,,,,,,49.1,
,,,,,,,,,,,,,,,,52.8,
,,,,,,,,,,,,,,,,47.1,
,,,,,,,,,,,,,,,,54.4,
,,,,,,,,,,,,,,,,51.2,
,,,,,,,,,,,,,,,,54.1,
,,,,,,,,,,,,,,,,48.4,
,,,,,,,,,,,,,,,,53.1,
,,,,,,,,,,,,,,,,51.5,
,,,,,,,,,,,,,,,,50.9,
,,,,,,,,,,,,,,,,51.6,
,,,,,,,,,,,,,,,,55.9,
,,,,,,,,,,,,,,,,50.8,
,,,,,,,,,,,,,,,,55,
,,,,,,,,,,,,,,,,56.9,
,,,,,,,,,,,,,,,,56.1,
,,,,,,,,,,,,,,,,50.8,
,,,,,,,,,,,,,,,,56.8,
,,,,,,,,,,,,,,,,52.8,
,,,,,,,,,,,,,,,,49.5,
,,,,,,,,,,,,,,,,48.2,
,,,,,,,,,,,,,,,,51.7,
,,,,,,,,,,,,,,,,55.2,
,,,,,,,,,,,,,,,,53.1,
,,,,,,,,,,,,,,,,54.3,
,,,,,,,,,,,,,,,,56.2,
,,,,,,,,,,,,,,,,54.6,
,,,,,,,,,,,,,,,,53.1,
,,,,,,,,,,,,,,,,51.1,
,,,,,,,,,,,,,,,,54.6,
,,,,,,,,,,,,,,,,54.9,
,,,,,,,,,,,,,,,,54.1,
,,,,,,,,,,,,,,,,54.8,
,,,,,,,,,,,,,,,,59,
,,,,,,,,,,,,,,,,49.9,
,,,,,,,,,,,,,,,,58.4,
,,,,,,,,,,,,,,,,61.6,
,,,,,,,,,,,,,,,,55.4,
,,,,,,,,,,,,,,,,62.7,
,,,,,,,,,,,,,,,,49.4,
,,,,,,,,,,,,,,,,50.5,
,,,,,,,,,,,,,,,,54.5,
,,,,,,,,,,,,,,,,52.6,
,,,,,,,,,,,,,,,,54.3,
,,,,,,,,,,,,,,,,61.1,
,,,,,,,,,,,,,,,,54.5,
,,,,,,,,,,,,,,,,53.4,
,,,,,,,,,,,,,,,,53.3,
,,,,,,,,,,,,,,,,52.3,
,,,,,,,,,,,,,,,,52.1,
,,,,,,,,,,,,,,,,52.2,
,,,,,,,,,,,,,,,,50.7,
,,,,,,,,,,,,,,,,57.3,
,,,,,,,,,,,,,,,,52.1,
,,,,,,,,,,,,,,,,56,
,,,,,,,,,,,,,,,,54.4,
,,,,,,,,,,,,,,,,51.6,
,,,,,,,,,,,,,,,,57.3,
,,,,,,,,,,,,,,,,57.4,
,,,,,,,,,,,,,,,,53.6,
,,,,,,,,,,,,,,,,53.7,
,,,,,,,,,,,,,,,,57.6,
,,,,,,,,,,,,,,,,51.8,
,,,,,,,,,,,,,,,,55.2,
,,,,,,,,,,,,,,,,56.7,
,,,,,,,,,,,,,,,,53.6,
,,,,,,,,,,,,,,,,55.1,
,,,,,,,,,,,,,,,,52.3,
,,,,,,,,,,,,,,,,55,
,,,,,,,,,,,,,,,,52.9,
,,,,,,,,,,,,,,,,53.8,
,,,,,,,,,,,,,,,,59.1,
,,,,,,,,,,,,,,,,48.9,
,,,,,,,,,,,,,,,,52.6,
,,,,,,,,,,,,,,,,55.1,
,,,,,,,,,,,,,,,,54,
,,,,,,,,,,,,,,,,53.6,
,,,,,,,,,,,,,,,,50.3,
,,,,,,,,,,,,,,,,51.7,
,,,,,,,,,,,,,,,,51.8,
,,,,,,,,,,,,,,,,52.7,
,,,,,,,,,,,,,,,,51.4,
,,,,,,,,,,,,,,,,57.5,
,,,,,,,,,,,,,,,,56,
,,,,,,,,,,,,,,,,52.6,
,,,,,,,,,,,,,,,,51.2,
,,,,,,,,,,,,,,,,51.4,
,,,,,,,,,,,,,,,,60.1,
,,,,,,,,,,,,,,,,50.1,
,,,,,,,,,,,,,,,,49,
,,,,,,,,,,,,,,,,51.7,
,,,,,,,,,,,,,,,,49.2,
,,,,,,,,,,,,,,,,48.9,
,,,,,,,,,,,,,,,,57.3,
,,,,,,,,,,,,,,,,54,
,,,,,,,,,,,,,,,,53.7,
,,,,,,,,,,,,,,,,56.8,
,,,,,,,,,,,,,,,,55.9,
,,,,,,,,,,,,,,,,53.6,
,,,,,,,,,,,,,,,,50.6,
,,,,,,,,,,,,,,,,56.3,
,,,,,,,,,,,,,,,,48.9,
,,,,,,,,,,,,,,,,51.6,
,,,,,,,,,,,,,,,,55.7,
,,,,,,,,,,,,,,,,56.6,
,,,,,,,,,,,,,,,,57.7,
,,,,,,,,,,,,,,,,50.6,
,,,,,,,,,,,,,,,,54.8,
,,,,,,,,,,,,,,,,53.2,
,,,,,,,,,,,,,,,,53.3,
,,,,,,,,,,,,,,,,56,
,,,,,,,,,,,,,,,,55.5,
,,,,,,,,,,,,,,,,49.4,
,,,,,,,,,,,,,,,,52.8,
,,,,,,,,,,,,,,,,52.8,
,,,,,,,,,,,,,,,,59.1,
,,,,,,,,,,,,,,,,56.1,
,,,,,,,,,,,,,,,,57.4,
,,,,,,,,,,,,,,,,52.2,
,,,,,,,,,,,,,,,,57.8,
,,,,,,,,,,,,,,,,58,
,,,,,,,,,,,,,,,,51,
,,,,,,,,,,,,,,,,55.4,
,,,,,,,,,,,,,,,,52.3,
,,,,,,,,,,,,,,,,51.3,
,,,,,,,,,,,,,,,,54.5,
,,,,,,,,,,,,,,,,59.5,
,,,,,,,,,,,,,,,,53.1,
,,,,,,,,,,,,,,,,55.9,
,,,,,,,,,,,,,,,,52.4,
,,,,,,,,,,,,,,,,57.7,
,,,,,,,,,,,,,,,,49.2,
,,,,,,,,,,,,,,,,54.8,
,,,,,,,,,,,,,,,,51.9,
,,,,,,,,,,,,,,,,50.3,
,,,,,,,,,,,,,,,,54.1,
,,,,,,,,,,,,,,,,53.1,
,,,,,,,,,,,,,,,,54.5,
,,,,,,,,,,,,,,,,54.6,
,,,,,,,,,,,,,,,,53.1,
,,,,,,,,,,,,,,,,54.3,
,,,,,,,,,,,,,,,,54.3,
,,,,,,,,,,,,,,,,53.5,
,,,,,,,,,,,,,,,,53.8,
,,,,,,,,,,,,,,,,55.7,
,,,,,,,,,,,,,,,,51.7,
,,,,,,,,,,,,,,,,49.8,
,,,,,,,,,,,,,,,,55.3,
,,,,,,,,,,,,,,,,62.1,
,,,,,,,,,,,,,,,,55.2,
,,,,,,,,,,,,,,,,52.3,
,,,,,,,,,,,,,,,,54.3,
,,,,,,,,,,,,,,,,60.8,
,,,,,,,,,,,,,,,,57.1,
,,,,,,,,,,,,,,,,52.8,
,,,,,,,,,,,,,,,,61.3,
,,,,,,,,,,,,,,,,50.8,
,,,,,,,,,,,,,,,,53.4,
,,,,,,,,,,,,,,,,56.2,
,,,,,,,,,,,,,,,,60.5,
,,,,,,,,,,,,,,,,55.4,
,,,,,,,,,,,,,,,,57.1,
,,,,,,,,,,,,,,,,53.4,
,,,,,,,,,,,,,,,,52.6,
,,,,,,,,,,,,,,,,57.6,
,,,,,,,,,,,,,,,,57.5,
,,,,,,,,,,,,,,,,54.1,
,,,,,,,,,,,,,,,,51.9,
,,,,,,,,,,,,,,,,53.1,
,,,,,,,,,,,,,,,,50.1,
,,,,,,,,,,,,,,,,52.9,
,,,,,,,,,,,,,,,,59.2,
,,,,,,,,,,,,,,,,50.6,
,,,,,,,,,,,,,,,,50.8,
,,,,,,,,,,,,,,,,53,
,,,,,,,,,,,,,,,,55.1,
,,,,,,,,,,,,,,,,53.9,
,,,,,,,,,,,,,,,,53.7,
,,,,,,,,,,,,,,,,57.6,
,,,,,,,,,,,,,,,,52.1,
,,,,,,,,,,,,,,,,56.5,
,,,,,,,,,,,,,,,,57.1,
,,,,,,,,,,,,,,,,61.9,
,,,,,,,,,,,,,,,,54.1,
,,,,,,,,,,,,,,,,49.7,
,,,,,,,,,,,,,,,,50,
,,,,,,,,,,,,,,,,54.8,
,,,,,,,,,,,,,,,,56.7,
,,,,,,,,,,,,,,,,52.5,
,,,,,,,,,,,,,,,,50.7,
,,,,,,,,,,,,,,,,49.9,
,,,,,,,,,,,,,,,,52.5,
,,,,,,,,,,,,,,,,55.4,
,,,,,,,,,,,,,,,,57.1,
,,,,,,,,,,,,,,,,49.6,
,,,,,,,,,,,,,,,,54.4,
,,,,,,,,,,,,,,,,59.8,
,,,,,,,,,,,,,,,,55.6,
,,,,,,,,,,,,,,,,54.3,
,,,,,,,,,,,,,,,,51.8,
,,,,,,,,,,,,,,,,53.2,
,,,,,,,,,,,,,,,,53.9,
,,,,,,,,,,,,,,,,49.5,
,,,,,,,,,,,,,,,,58.1,
,,,,,,,,,,,,,,,,49.2,
,,,,,,,,,,,,,,,,53.8,
,,,,,,,,,,,,,,,,55.8,
,,,,,,,,,,,,,,,,57.9,
,,,,,,,,,,,,,,,,56,
,,,,,,,,,,,,,,,,53.6,
,,,,,,,,,,,,,,,,51,
,,,,,,,,,,,,,,,,54.7,
,,,,,,,,,,,,,,,,55.9,
,,,,,,,,,,,,,,,,49.9,
,,,,,,,,,,,,,,,,59.1,
,,,,,,,,,,,,,,,,47.5,
,,,,,,,,,,,,,,,,56,
,,,,,,,,,,,,,,,,55.2,
,,,,,,,,,,,,,,,,51.6,
,,,,,,,,,,,,,,,,55.7,
,,,,,,,,,,,,,,,,57.1,
,,,,,,,,,,,,,,,,56.2,
,,,,,,,,,,,,,,,,51.6,
,,,,,,,,,,,,,,,,55.1,
,,,,,,,,,,,,,,,,52.8,
,,,,,,,,,,,,,,,,59.3,
,,,,,,,,,,,,,,,,57.8,
,,,,,,,,,,,,,,,,56.5,
,,,,,,,,,,,,,,,,47.3,
,,,,,,,,,,,,,,,,53.9,
,,,,,,,,,,,,,,,,51,
,,,,,,,,,,,,,,,,53.6,
,,,,,,,,,,,,,,,,53.7,
,,,,,,,,,,,,,,,,51.1,
,,,,,,,,,,,,,,,,58.3,
,,,,,,,,,,,,,,,,52.7,
,,,,,,,,,,,,,,,,50.5,
,,,,,,,,,,,,,,,,49.4,
,,,,,,,,,,,,,,,,53.5,
,,,,,,,,,,,,,,,,52.9,
,,,,,,,,,,,,,,,,51.5,
,,,,,,,,,,,,,,,,56.7,
,,,,,,,,,,,,,,,,55.8,
,,,,,,,,,,,,,,,,48.4,
,,,,,,,,,,,,,,,,51,
,,,,,,,,,,,,,,,,54.4,
,,,,,,,,,,,,,,,,56,
,,,,,,,,,,,,,,,,52.3,
,,,,,,,,,,,,,,,,52.5,
,,,,,,,,,,,,,,,,60.6,
,,,,,,,,,,,,,,,,57.4,
,,,,,,,,,,,,,,,,51.4,
,,,,,,,,,,,,,,,,53.7,
,,,,,,,,,,,,,,,,51.8,
,,,,,,,,,,,,,,,,55.2,
,,,,,,,,,,,,,,,,56.6,
,,,,,,,,,,,,,,,,52,
,,,,,,,,,,,,,,,,51.9,
,,,,,,,,,,,,,,,,58.5,
,,,,,,,,,,,,,,,,50.8,
,,,,,,,,,,,,,,,,52.9,
,,,,,,,,,,,,,,,,51.1,
,,,,,,,,,,,,,,,,54.1,
,,,,,,,,,,,,,,,,51.4,
,,,,,,,,,,,,,,,,51.5,
,,,,,,,,,,,,,,,,58.1,
,,,,,,,,,,,,,,,,47.6,
,,,,,,,,,,,,,,,,56.5,
,,,,,,,,,,,,,,,,55.1,
,,,,,,,,,,,,,,,,51.3,
,,,,,,,,,,,,,,,,54.5,
,,,,,,,,,,,,,,,,61.2,
,,,,,,,,,,,,,,,,58.5,
,,,,,,,,,,,,,,,,53.8,
,,,,,,,,,,,,,,,,51,
,,,,,,,,,,,,,,,,52.1,
,,,,,,,,,,,,,,,,50.5,
,,,,,,,,,,,,,,,,53.8,
,,,,,,,,,,,,,,,,53.8,
,,,,,,,,,,,,,,,,52.9,
,,,,,,,,,,,,,,,,47.5,
,,,,,,,,,,,,,,,,51.3,
,,,,,,,,,,,,,,,,46.4,
,,,,,,,,,,,,,,,,47.6,
,,,,,,,,,,,,,,,,50.5,
,,,,,,,,,,,,,,,,54.3,
,,,,,,,,,,,,,,,,55.6,
,,,,,,,,,,,,,,,,54.4,
,,,,,,,,,,,,,,,,59.3,
,,,,,,,,,,,,,,,,57.6,
,,,,,,,,,,,,,,,,58.2,
,,,,,,,,,,,,,,,,61.1,
,,,,,,,,,,,,,,,,52.3,
,,,,,,,,,,,,,,,,52.2,
,,,,,,,,,,,,,,,,59.6,
,,,,,,,,,,,,,,,,56,
,,,,,,,,,,,,,,,,50.5,
,,,,,,,,,,,,,,,,52.5,
,,,,,,,,,,,,,,,,51.3,
,,,,,,,,,,,,,,,,52.2,
,,,,,,,,,,,,,,,,49.6,
,,,,,,,,,,,,,,,,52.9,
,,,,,,,,,,,,,,,,58.6,
,,,,,,,,,,,,,,,,52.1,
,,,,,,,,,,,,,,,,58.6,
,,,,,,,,,,,,,,,,51.1,
,,,,,,,,,,,,,,,,52.2,
,,,,,,,,,,,,,,,,50.3,
,,,,,,,,,,,,,,,,49.8,
,,,,,,,,,,,,,,,,50,
,,,,,,,,,,,,,,,,52.6,
,,,,,,,,,,,,,,,,53.2,
,,,,,,,,,,,,,,,,52.1,
,,,,,,,,,,,,,,,,50.5,
,,,,,,,,,,,,,,,,49.3,
,,,,,,,,,,,,,,,,54.7,
,,,,,,,,,,,,,,,,48.9,
,,,,,,,,,,,,,,,,61.4,
,,,,,,,,,,,,,,,,59.1,
,,,,,,,,,,,,,,,,52.2,
,,,,,,,,,,,,,,,,50.4,
,,,,,,,,,,,,,,,,54.4,
,,,,,,,,,,,,,,,,51.9,
,,,,,,,,,,,,,,,,55,
,,,,,,,,,,,,,,,,52.3,
,,,,,,,,,,,,,,,,57,
,,,,,,,,,,,,,,,,50.5,
,,,,,,,,,,,,,,,,56.1,
,,,,,,,,,,,,,,,,55.9,
,,,,,,,,,,,,,,,,53.3,
,,,,,,,,,,,,,,,,52.4,
,,,,,,,,,,,,,,,,61,
,,,,,,,,,,,,,,,,50.9,
,,,,,,,,,,,,,,,,60.1,
,,,,,,,,,,,,,,,,60.2,
,,,,,,,,,,,,,,,,49.6,
,,,,,,,,,,,,,,,,52.2,
,,,,,,,,,,,,,,,,52.7,
,,,,,,,,,,,,,,,,53.1,
,,,,,,,,,,,,,,,,54.9,
,,,,,,,,,,,,,,,,52,
,,,,,,,,,,,,,,,,52.5,
,,,,,,,,,,,,,,,,55.3,
,,,,,,,,,,,,,,,,53.6,
,,,,,,,,,,,,,,,,50,
,,,,,,,,,,,,,,,,53,
,,,,,,,,,,,,,,,,51.5,
,,,,,,,,,,,,,,,,53.2,
,,,,,,,,,,,,,,,,55.9,
,,,,,,,,,,,,,,,,54.8,
,,,,,,,,,,,,,,,,55.9,
,,,,,,,,,,,,,,,,51,
,,,,,,,,,,,,,,,,49.6,
,,,,,,,,,,,,,,,,54.1,
,,,,,,,,,,,,,,,,53.8,
,,,,,,,,,,,,,,,,51.9,
,,,,,,,,,,,,,,,,49,
,,,,,,,,,,,,,,,,55,
,,,,,,,,,,,,,,,,55,
,,,,,,,,,,,,,,,,50.9,
,,,,,,,,,,,,,,,,52.2,
,,,,,,,,,,,,,,,,54.5,
,,,,,,,,,,,,,,,,55.7,
,,,,,,,,,,,,,,,,51.9,
,,,,,,,,,,,,,,,,58.3,
,,,,,,,,,,,,,,,,57.7,
,,,,,,,,,,,,,,,,46.5,
,,,,,,,,,,,,,,,,51.6,
,,,,,,,,,,,,,,,,46.9,
,,,,,,,,,,,,,,,,48.5,
,,,,,,,,,,,,,,,,52,
,,,,,,,,,,,,,,,,54.2,
,,,,,,,,,,,,,,,,55.9,
,,,,,,,,,,,,,,,,54.6,
,,,,,,,,,,,,,,,,59.7,
,,,,,,,,,,,,,,,,47.6,
,,,,,,,,,,,,,,,,57,
,,,,,,,,,,,,,,,,47.5,
,,,,,,,,,,,,,,,,54.5,
,,,,,,,,,,,,,,,,53.8,
,,,,,,,,,,,,,,,,51.1,
,,,,,,,,,,,,,,,,56.6,
,,,,,,,,,,,,,,,,52.3,
,,,,,,,,,,,,,,,,58.1,
,,,,,,,,,,,,,,,,53.7,
,,,,,,,,,,,,,,,,54.1,
,,,,,,,,,,,,,,,,55,
,,,,,,,,,,,,,,,,52.7,
,,,,,,,,,,,,,,,,51.8,
,,,,,,,,,,,,,,,,56.4,
,,,,,,,,,,,,,,,,53.4,
,,,,,,,,,,,,,,,,56.9,
,,,,,,,,,,,,,,,,59.5,
,,,,,,,,,,,,,,,,54,
,,,,,,,,,,,,,,,,50,
,,,,,,,,,,,,,,,,57,
,,,,,,,,,,,,,,,,55.9,
,,,,,,,,,,,,,,,,50.2,
,,,,,,,,,,,,,,,,54.3,
,,,,,,,,,,,,,,,,60.2,
,,,,,,,,,,,,,,,,53.7,
,,,,,,,,,,,,,,,,51.5,
,,,,,,,,,,,,,,,,53.5,
,,,,,,,,,,,,,,,,51.3,
,,,,,,,,,,,,,,,,54.8,
,,,,,,,,,,,,,,,,51.8,
,,,,,,,,,,,,,,,,50.7,
,,,,,,,,,,,,,,,,56.7,
,,,,,,,,,,,,,,,,51.8,
,,,,,,,,,,,,,,,,52.3,
,,,,,,,,,,,,,,,,56,
,,,,,,,,,,,,,,,,58,
,,,,,,,,,,,,,,,,55.8,
,,,,,,,,,,,,,,,,59.5,
,,,,,,,,,,,,,,,,52.4,
,,,,,,,,,,,,,,,,52.1,
,,,,,,,,,,,,,,,,54.6,
,,,,,,,,,,,,,,,,54.6,
,,,,,,,,,,,,,,,,55.5,
,,,,,,,,,,,,,,,,57,
,,,,,,,,,,,,,,,,55,
,,,,,,,,,,,,,,,,49.4,
,,,,,,,,,,,,,,,,55.2,
,,,,,,,,,,,,,,,,51.9,
,,,,,,,,,,,,,,,,51.8,
,,,,,,,,,,,,,,,,56.4,
,,,,,,,,,,,,,,,,58.2,
,,,,,,,,,,,,,,,,58.3,
,,,,,,,,,,,,,,,,52.2,
,,,,,,,,,,,,,,,,56.6,
,,,,,,,,,,,,,,,,47.3,
,,,,,,,,,,,,,,,,56.3,
,,,,,,,,,,,,,,,,55.4,
,,,,,,,,,,,,,,,,52.1,
,,,,,,,,,,,,,,,,51.6,
,,,,,,,,,,,,,,,,57.6,
,,,,,,,,,,,,,,,,60.5,
,,,,,,,,,,,,,,,,54.2,
,,,,,,,,,,,,,,,,52.9,
,,,,,,,,,,,,,,,,49.9,
,,,,,,,,,,,,,,,,53.1,
,,,,,,,,,,,,,,,,53.3,
,,,,,,,,,,,,,,,,55.1,
,,,,,,,,,,,,,,,,51.2,
,,,,,,,,,,,,,,,,58.2,
,,,,,,,,,,,,,,,,54.5,
,,,,,,,,,,,,,,,,58.6,
,,,,,,,,,,,,,,,,53,
,,,,,,,,,,,,,,,,52.4,
,,,,,,,,,,,,,,,,51.9,
,,,,,,,,,,,,,,,,54.2,
,,,,,,,,,,,,,,,,50.8,
,,,,,,,,,,,,,,,,54.1,
,,,,,,,,,,,,,,,,51.9,
,,,,,,,,,,,,,,,,55.3,
,,,,,,,,,,,,,,,,49.6,
,,,,,,,,,,,,,,,,50.3,
,,,,,,,,,,,,,,,,54,
,,,,,,,,,,,,,,,,59.7,
,,,,,,,,,,,,,,,,54.3,
,,,,,,,,,,,,,,,,54.4,
,,,,,,,,,,,,,,,,55.6,
,,,,,,,,,,,,,,,,47.2,
,,,,,,,,,,,,,,,,51.4,
,,,,,,,,,,,,,,,,52.5,
,,,,,,,,,,,,,,,,50.8,
,,,,,,,,,,,,,,,,50.7,
,,,,,,,,,,,,,,,,57.4,
,,,,,,,,,,,,,,,,56.8,
,,,,,,,,,,,,,,,,54.7,
,,,,,,,,,,,,,,,,52.5,
,,,,,,,,,,,,,,,,57.5,
,,,,,,,,,,,,,,,,59.5,
,,,,,,,,,,,,,,,,54,
,,,,,,,,,,,,,,,,53.1,
,,,,,,,,,,,,,,,,53.2,
,,,,,,,,,,,,,,,,56.6,
,,,,,,,,,,,,,,,,57.2,
,,,,,,,,,,,,,,,,56.1,
,,,,,,,,,,,,,,,,57.7,
,,,,,,,,,,,,,,,,54.4,
,,,,,,,,,,,,,,,,53.4,
,,,,,,,,,,,,,,,,54.2,
,,,,,,,,,,,,,,,,55.2,
,,,,,,,,,,,,,,,,50.4,
,,,,,,,,,,,,,,,,50.7,
,,,,,,,,,,,,,,,,51,
,,,,,,,,,,,,,,,,51.4,
,,,,,,,,,,,,,,,,58.2,
,,,,,,,,,,,,,,,,52.6,
,,,,,,,,,,,,,,,,58.7,
,,,,,,,,,,,,,,,,55.7,
,,,,,,,,,,,,,,,,52.2,
,,,,,,,,,,,,,,,,53.2,
,,,,,,,,,,,,,,,,53,
,,,,,,,,,,,,,,,,52.6,
