d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),,52.7,53.13290793
270.3,,,789.6,,,879.1,,,1131.4,,,2538.4,,,,53,
280.6,,,776.1,,,875.4,,,1173,,,2521.1,,,,49.8,
302.9,,,775.8,,,910.9,,,1162.5,,,2558.3,,,,49.7,
306.5,,,824.2,,,899.9,,,1097,,,2581.9,,,,53.8,
275.3,,,723.8,,,914.6,,,1133.5,,,2403.3,,,,52.8,
285.3,,,795.2,,,920.4,,,1115.2,,,2354.8,,,,55.7,
267.1,,,804.3,,,934.7,,,1141.3,,,2418.1,,,,50.9,
328.2,,,824.7,,,918.1,,,1153.5,,,2452.7,,,,48.7,
261.2,,,744.7,,,927.7,,,1188.3,,,2532.1,,,,50,
340.3,,,792.2,,,993.8,,,1150.8,,,2639.9,,,,56.5,
294.1,,,810.4,,,1076.9,,,1144.9,,,,,,,55.3,
303,,,767.7,,,1101.9,,,1146.4,,,,,,,47.7,
274.7,,,771,,,1105.6,,,1155.5,,,,,,,49.4,
272,,,830.4,,,1115,,,1169.1,,,,,,,56.4,
322.4,,,778,,,1109.1,,,1111.3,,,,,,,54.5,
310.3,,,763.9,,,1154.9,,,1106,,,,,,,53,
261.2,,,797,,,1046.9,,,1128.4,,,,,,,50.8,
341.7,,,768.2,,,1126.9,,,1110.4,,,,,,,56.3,
320.1,,,770.1,,,1125.4,,,1167.1,,,,,,,49.3,
320.1,,,818.8,,,1105.5,,,1148.2,,,,,,,53.6,
322.8,,,798.8,,,1079.3,,,1128.6,,,,,,,49,
292,,,796.5,,,1141.1,,,1160.4,,,,,,,50.1,
277.2,,,811.2,,,1173.7,,,1157.6,,,,,,,50,
321.2,,,851.8,,,1168.8,,,1149.7,,,,,,,51.6,
319.2,,,802.1,,,1066.4,,,1145.8,,,,,,,54.1,
291,,,802.7,,,1113.7,,,1132.2,,,,,,,50.9,
292.5,,,854.8,,,1096.4,,,1105.3,,,,,,,49.9,
294.9,,,749.8,,,1070.5,,,1166.5,,,,,,,52.6,
270.6,,,820.8,,,1091.9,,,1153.1,,,,,,,50.8,
319.8,,,812.5,,,1148.5,,,1162.6,,,,,,,51.2,
312.5,,,852.6,,,1107.8,,,1182,,,,,,,49.5,
289.5,,,776.4,,,1130.7,,,1165.6,,,,,,,56.3,
280.4,,,818.1,,,1111.5,,,1097.1,,,,,,,51.9,
268.9,,,778.1,,,1135.2,,,1121.6,,,,,,,51.2,
265.5,,,870.8,,,1137.4,,,1115.6,,,,,,,55.6,
308.6,,,860,,,1088.6,,,1172.2,,,,,,,51.8,
296.9,,,784.9,,,1155.4,,,1145.5,,,,,,,58,
283.4,,,796.8,,,1142.6,,,1157.1,,,,,,,51.5,
305.2,,,810.8,,,1124.6,,,1151.9,,,,,,,52.2,
295.4,,,784.8,,,1138.1,,,1135.6,,,,,,,56.8,
292,,,777.6,,,1130.3,,,1173.7,,,,,,,56,
291.2,,,771.3,,,1089.5,,,1214,,,,,,,52.9,
277.6,,,750.4,,,1102.4,,,1174,,,,,,,52.9,
315.3,,,755.7,,,1093.6,,,1164.5,,,,,,,59.9,
279.3,,,799.6,,,1094.2,,,1191.9,,,,,,,56.1,
276.4,,,775.6,,,1052.6,,,1168.4,,,,,,,57.5,
264.4,,,842.5,,,1080.5,,,1149.8,,,,,,,51.8,
258.4,,,788.9,,,1067.2,,,1165.2,,,,,,,46.6,
271.1,,,786.8,,,1099.5,,,1154.9,,,,,,,53.8,
281.9,,,810.9,,,1097.3,,,1185.1,,,,,,,54.6,
285.7,,,828.5,,,1123,,,1154.1,,,,,,,52.9,
286.5,,,756,,,1112.6,,,1159.2,,,,,,,51.1,
296.9,,,687.2,,,1125.4,,,1114.5,,,,,,,51.3,
337.2,,,604,,,1108.8,,,1119.5,,,,,,,49,
309.1,,,795.4,,,1108.9,,,1147.4,,,,,,,51.8,
314.3,,,875.9,,,1141.2,,,1163,,,,,,,54.3,
308.2,,,905,,,1137.4,,,1175.1,,,,,,,50.2,
300.2,,,737.5,,,1103.6,,,1163.9,,,,,,,55.2,
313.3,,,886.4,,,1146.1,,,1159.4,,,,,,,52.1,
276.9,,,860.8,,,1124.1,,,1146.3,,,,,,,50.1,
305.4,,,879.9,,,1132,,,1145.6,,,,,,,53.4,
306.3,,,927.1,,,1139.4,,,1175.3,,,,,,,51.8,
302.6,,,958.7,,,1134,,,1165.2,,,,,,,56.1,
294.7,,,660.7,,,1165.8,,,1164.7,,,,,,,52.1,
266.2,,,806.1,,,1150.7,,,1120.6,,,,,,,56.7,
289.2,,,731.3,,,1138.7,,,1142.9,,,,,,,48.7,
