NLoS,d_real(cm),d_mea(cm),NLoS,d_real(cm),d_mea(cm),LoS,LoS,LoS
129.2,,,548,,,100.1,515.6,512.6
121.2,,,547.7,,,102,512.9,514.4
126.8,,,544.7,,,99.1,505.5,515.5
114.8,,,543.1,,,100.9,512.5,512.9
119,,,543.7,,,101.8,516,517.6
118,,,549.3,,,98.9,516.8,513.7
123.5,,,544.8,,,98.6,513.6,512.4
124.7,,,544.3,,,95.3,511,512.5
123.6,,,541.8,,,102.2,512.3,517.1
126.6,,,542.9,,,96.1,511.2,514.5
132.6,,,540.3,,,98.6,510.8,511.7
125.1,,,541.6,,,92.4,513.9,516.5
127.4,,,544.5,,,101.4,513.9,515.4
128.6,,,542.8,,,98.9,508.6,514.3
122.4,,,547.5,,,101,508.8,512.7
128.9,,,536.4,,,96.3,509.7,510.5
128.2,,,538.8,,,98.8,520.1,508.7
132.5,,,537.3,,,91.8,518.3,507.6
128.6,,,532.7,,,98,511.6,514.1
125.9,,,532.5,,,93.7,517.6,510.7
127.6,,,535.9,,,95.6,519.1,513.3
128.6,,,532.3,,,93.1,518.9,512.1
125,,,537.8,,,96.8,518.3,511.2
122.8,,,539.4,,,96.1,517.6,522.3
124.3,,,535.6,,,91.3,507.4,519.3
129.9,,,536.5,,,95.8,511.1,515.5
126.3,,,540.9,,,97.6,516.7,517
119.3,,,538.6,,,96.9,507,512.9
124.7,,,541.5,,,99,511.8,519.1
123.5,,,539,,,94.7,509.9,509.9
120.7,,,541.9,,,94.8,511.4,511
121.8,,,539.4,,,95.6,512.3,514.4
119.9,,,541.6,,,95.2,507.7,511.7
119.9,,,542.2,,,96.9,515.1,516
118,,,545.3,,,95.1,513.5,519.8
120.5,,,547.2,,,104.6,516.4,521.8
120,,,544.6,,,99.5,510.7,517.1
119.9,,,542,,,101.6,511.1,516.6
116.5,,,544.9,,,97.6,518.8,515.6
122,,,540.3,,,94,516.1,512.2
116,,,548.8,,,96.1,505.8,516.5
118.5,,,551.8,,,99.4,543.9,513.3
113.6,,,554.6,,,102.8,513.4,511.1
116.5,,,551.8,,,100.9,510.9,516.5
118.3,,,551.8,,,99,572.6,517.2
118.5,,,546.1,,,94.2,504.9,513
114.9,,,546.3,,,100.4,502.4,517.5
114.2,,,549.8,,,104.2,501.9,513.2
111.8,,,552,,,103.1,505.3,512.9
113.7,,,545.5,,,105.4,502.9,516
114.7,,,551.7,,,107.9,507.4,515
113,,,548.2,,,99.4,505.1,517.7
113.2,,,548.8,,,100.8,507.5,507.6
107.8,,,549.2,,,100.7,507.4,519.2
115.4,,,550.4,,,98.2,512.7,515.5
111.4,,,548.2,,,98.7,512.9,508.9
111.9,,,551.2,,,102.3,518.1,517.1
112.7,,,551.4,,,98.7,510.9,511.9
112.1,,,541.1,,,98,509.9,520.9
111.1,,,549.4,,,97.5,515.7,510.5
110.8,,,550.7,,,97,507.7,516.7
113.7,,,549.1,,,97.5,528.8,509.5
110.2,,,548.4,,,100,515.8,519.2
108.9,,,552.9,,,95.4,520.9,519.5
109.2,,,550.3,,,93.6,503.6,522.7
109.1,,,551,,,95.4,509.6,514.4
108.1,,,552.1,,,99,514.1,527
107.1,,,547.9,,,102.4,531.2,516.2
112.2,,,548.7,,,97.4,511.4,512.1
109.8,,,546.8,,,97.2,516,514.6
108,,,542.5,,,96.3,525.3,514.5
108.3,,,543.6,,,98.8,524.4,515.1
109.7,,,525.7,,,92.7,507.3,509
111.5,,,541,,,94.4,512.4,516.1
110.9,,,532.3,,,96.1,528.9,517.4
116.9,,,536.3,,,93.8,529.8,499.6
116.3,,,526.5,,,98.3,511.5,512.7
117.1,,,531,,,95.4,514.1,513.1
118.6,,,545.9,,,93.4,551,517.6
119.2,,,548.6,,,97.2,509.8,521.5
120.7,,,550.5,,,95.9,518,524.9
125.6,,,551.5,,,93.4,507.4,510.1
117.6,,,541.9,,,100.6,522.3,512.4
121.2,,,546.7,,,98.1,523.4,505.1
124.2,,,547.3,,,96.1,521,515.8
124.3,,,546.3,,,96.1,509.3,515.9
