x1,y1,val_x1,val_y1,x2,y2,val_x2,val_y2,,x1,y1,val_x1,val_y1,x2,y2,val_x2,val_y2,Sai_lech_tb_x1y1,Sai_lech_tb_x2y2
94.8,524.1635236,,,226.8281399,1019.398859,,,,0.95,5.24,,,2.27,10.19,,,0.25,0.33
96.9,498.5715184,,,217.2757677,1035.712512,,,,0.97,4.99,,,2.17,10.36,,,0.03,0.40
88.3,499.2240054,,,216.9139118,1028.577127,,,,0.88,4.99,,,2.17,10.29,,,0.12,0.33
97.6,498.6458847,,,211.7020506,1036.797421,,,,0.98,4.99,,,2.12,10.37,,,0.03,0.39
93.1,520.9756407,,,207.4358147,1030.925267,,,,0.93,5.21,,,2.07,10.31,,,0.22,0.32
110.8,500.8820757,,,219.6645168,1019.392669,,,,1.11,5.01,,,2.20,10.19,,,0.11,0.28
109.5,504.1990975,,,223.8270871,1022.078833,,,,1.10,5.04,,,2.24,10.22,,,0.10,0.32
90.9,506.9849508,,,209.6141464,1027.210934,,,,0.91,5.07,,,2.10,10.27,,,0.11,0.29
110.9,494.4251421,,,212.4397781,1027.094163,,,,1.11,4.94,,,2.12,10.27,,,0.12,0.30
109.3,502.1284146,,,217.0327693,1035.514962,,,,1.09,5.02,,,2.17,10.36,,,0.10,0.39
105.1,501.941268,,,210.3265735,1034.816728,,,,1.05,5.02,,,2.10,10.35,,,0.05,0.36
90.3,505.2139782,,,213.9012042,1030.43591,,,,0.90,5.05,,,2.14,10.30,,,0.11,0.33
90.1,521.9871198,,,218.7776241,1031.738735,,,,0.90,5.22,,,2.19,10.32,,,0.24,0.37
95.4,501.823157,,,224.2915475,1014.828928,,,,0.95,5.02,,,2.24,10.15,,,0.05,0.28
109.7,514.9877073,,,206.9990575,1017.135915,,,,1.10,5.15,,,2.07,10.17,,,0.18,0.19
109.6,508.9441732,,,212.1674884,1035.923994,,,,1.10,5.09,,,2.12,10.36,,,0.13,0.38
91.8,523.8305322,,,218.5917829,1026.415127,,,,0.92,5.24,,,2.19,10.26,,,0.25,0.32
101.2,515.2489068,,,213.2079723,1016.235478,,,,1.01,5.15,,,2.13,10.16,,,0.15,0.21
94.6,517.8136246,,,215.4785216,1029.185784,,,,0.95,5.18,,,2.15,10.29,,,0.19,0.33
102.4,496.3580571,,,228.063155,1025.860361,,,,1.02,4.96,,,2.28,10.26,,,0.04,0.38
96.7,512.1700948,,,225.7729945,1028.263459,,,,0.97,5.12,,,2.26,10.28,,,0.13,0.38
110.5,495.6149959,,,228.4789738,1028.782631,,,,1.11,4.96,,,2.28,10.29,,,0.11,0.40
92.3,520.043223,,,221.4584543,1030.37949,,,,0.92,5.20,,,2.21,10.30,,,0.21,0.37
92,497.9737049,,,227.6553587,1025.30302,,,,0.92,4.98,,,2.28,10.25,,,0.08,0.37
102,505.7678818,,,206.5133826,1026.783179,,,,1.02,5.06,,,2.07,10.27,,,0.06,0.28
88.6,500.4463975,,,213.9751236,1017.870227,,,,0.89,5.00,,,2.14,10.18,,,0.11,0.23
96.6,507.127724,,,221.6599931,1016.389462,,,,0.97,5.07,,,2.22,10.16,,,0.08,0.27
90.5,501.1153322,,,221.3367915,1026.371623,,,,0.91,5.01,,,2.21,10.26,,,0.10,0.34
100.4,496.3602754,,,224.1544077,1023.030471,,,,1.00,4.96,,,2.24,10.23,,,0.04,0.33
93.7,512.6154859,,,214.5753544,1020.852766,,,,0.94,5.13,,,2.15,10.21,,,0.14,0.25
107.9,509.3655421,,,206.3727737,1033.924484,,,,1.08,5.09,,,2.06,10.34,,,0.12,0.35
110.5,521.3833855,,,215.2497192,1036.419137,,,,1.11,5.21,,,2.15,10.36,,,0.24,0.39
108.4,502.3382235,,,222.8534442,1035.006605,,,,1.08,5.02,,,2.23,10.35,,,0.09,0.42
108.5,503.3172602,,,225.6687352,1032.250221,,,,1.09,5.03,,,2.26,10.32,,,0.09,0.41
97.6,502.7988184,,,210.3568692,1029.831694,,,,0.98,5.03,,,2.10,10.30,,,0.04,0.32
100.2,512.8027944,,,209.4318565,1023.377229,,,,1.00,5.13,,,2.09,10.23,,,0.13,0.25
105.3,494.9282709,,,224.6128197,1032.371759,,,,1.05,4.95,,,2.25,10.32,,,0.07,0.41
97.5,511.2685933,,,219.0492577,1017.520993,,,,0.98,5.11,,,2.19,10.18,,,0.12,0.26
108.9,496.7554596,,,221.7108862,1025.076872,,,,1.09,4.97,,,2.22,10.25,,,0.09,0.33
93.7,514.817032,,,220.4609073,1018.374741,,,,0.94,5.15,,,2.20,10.18,,,0.16,0.28
103.4,502.9704888,,,207.5493473,1017.023123,,,,1.03,5.03,,,2.08,10.17,,,0.05,0.19
90.4,497.8191704,,,216.0323439,1036.663526,,,,0.90,4.98,,,2.16,10.37,,,0.10,0.40
104.5,503.3900324,,,223.6639494,1032.466609,,,,1.05,5.03,,,2.24,10.32,,,0.06,0.40
102.3,517.5147991,,,219.4879427,1034.833876,,,,1.02,5.18,,,2.19,10.35,,,0.18,0.40
95.1,521.7105974,,,209.3285204,1014.645633,,,,0.95,5.22,,,2.09,10.15,,,0.22,0.17
102.4,523.9735871,,,217.2722159,1016.020185,,,,1.02,5.24,,,2.17,10.16,,,0.24,0.24
92.1,522.4543313,,,224.8828411,1029.121686,,,,0.92,5.22,,,2.25,10.29,,,0.24,0.38
95.6,504.3868051,,,209.7200364,1036.86302,,,,0.96,5.04,,,2.10,10.37,,,0.06,0.38
99.2,500.6867283,,,215.6644018,1035.659305,,,,0.99,5.01,,,2.16,10.36,,,0.01,0.39
89.3,492.4720218,,,217.9711537,1037.374071,,,,0.89,4.92,,,2.18,10.37,,,0.13,0.41
111.4,499.0535649,,,216.3724929,1024.427362,,,,1.11,4.99,,,2.16,10.24,,,0.11,0.29
93.8,494.2821312,,,209.8009097,1022.611589,,,,0.94,4.94,,,2.10,10.23,,,0.08,0.25
106.6,522.7917382,,,221.9536091,1037.850607,,,,1.07,5.23,,,2.22,10.38,,,0.24,0.44
107.6,515.1437553,,,219.3988926,1026.383072,,,,1.08,5.15,,,2.19,10.26,,,0.17,0.33
104.6,507.4274268,,,210.6073047,1017.205454,,,,1.05,5.07,,,2.11,10.17,,,0.09,0.20
111.7,505.2833238,,,214.9814998,1027.035025,,,,1.12,5.05,,,2.15,10.27,,,0.13,0.31
