1,0.97
2,1
3,1.05
4,1
5,1.03
6,1.03
7,1.04
8,1.06
9,1.08
10,1
11,0.97
12,1.01
13,1.06
14,1.07
15,0.96
16,1.03
17,0.98
18,1.03
19,1.05
20,1.05
21,1.06
22,1.04
23,0.98
24,1.02
25,1.06
26,0.97
27,1.02
28,1.04
29,1
30,1.01
31,1.06
32,1.07
33,1.03
34,0.97
35,1.03
36,1.02
37,1.02
38,1
39,1.01
40,1.06
41,1
42,0.99
43,1.05
44,1.01
45,0.97
46,1
47,1.02
48,0.98
49,1.02
50,1.02
51,1
52,1.08
53,0.93
54,0.93
55,0.98
56,0.96
57,0.97
58,1
59,1.02
60,1.06
61,1.02
62,1.02
63,1.02
64,0.96
65,1.08
66,0.94
67,1.11
68,1.12
69,1.04
70,0.96
71,1.09
72,1.03
73,1.05
74,0.92
75,1.1
76,1.02
77,1.04
78,1.08
79,0.98
80,1.06
81,1.09
82,1.01
83,1.07
84,0.95
85,1.1
86,1.01
87,0.94
88,0.99
89,1.01
90,1.01
91,1
92,1.02
93,1.01
94,1.07
95,0.97
96,1.05
97,0.95
98,0.99
99,0.99
100,1.01
101,1.07
102,1.06
103,0.98
104,1.07
105,1.08
106,0.99
107,0.96
108,1.06
109,1.08
110,0.93
111,0.96
112,1.11
113,1.04
114,0.94
115,0.95
116,1
117,1
118,0.94
119,1.11
120,0.93
121,0.99
122,0.96
123,1.07
124,1.04
125,0.92
126,1.11
127,0.96
128,0.92
129,0.99
130,1.01
131,0.96
132,0.98
133,1.04
134,0.99
135,1.06
136,1.01
137,1.05
138,1.09
139,0.92
140,1.04
141,0.95
142,1.01
143,1.01
144,0.99
145,0.96
146,1.06
147,1.11
148,1.03
149,0.95
150,1.04
151,0.99
152,1
153,1.06
154,0.98
155,1.06
156,1.04
157,0.98
158,1.03
159,0.96
160,0.94
161,0.97
162,1
163,1.06
164,1.1
165,1.1
166,1.1
167,1.07
168,0.98
169,0.97
170,0.98
171,0.98
172,0.94
173,1.06
174,0.99
175,1.09
176,1.08
177,1.06
178,1
179,0.95
180,1.06
181,0.92
182,1.06
183,1.04
184,1.03
185,1.13
186,1.17
187,1.02
188,0.93
189,1.11
190,0.9
191,0.92
192,0.92
193,0.9
194,1.08
195,0.98
196,1.15
197,0.96
198,1.06
199,1.16
200,0.96
201,1.14
202,1.03
203,0.99
204,1.17
205,0.94
206,0.87
207,0.9
208,0.88
209,1.04
