d_mea1,d_mea2,d_mea3,d_mea4,d_mea5,d_mea6,d_mea7,,,,,,,
53.4,96.2,196.6,301.8,517,1044.6,1548.7,,,,,,,
54.1,97.3,196.3,302.9,512.9,1044.4,1537.3,,,,,,,
53.7,97.2,199.2,304,519.1,1043.6,1539.8,,,,,,,
52.4,93.1,200.7,302.3,509.9,1036.5,1535.9,,,,,,,
49.6,95.5,192.2,299.8,511,1041.2,1541,,,,,,,
50.1,94.8,195.5,304.7,514.4,1038,1547.9,,,,,,,
52.7,97,197.3,305.2,511.7,1040.7,1537.6,,,,,,,
53.7,94.4,198.2,305.4,516,1030.5,1542,,,,,,,
52.7,93.1,195.7,301.9,519.8,1035.6,1553,,,,,,,
53.3,94.9,194.7,303,521.8,1029,1538.2,,,,,,,
51.4,95.2,193.2,303.8,527,1038.5,1541.9,,,,,,,
47.7,94.5,196.4,306.8,516.6,1041.5,1542.8,,,,,,,
50,92.9,198,300.4,515.6,1043.6,1540.3,,,,,,,
