d_mea1,d_mea2,d_mea3,d_mea4,d_mea5,d_mea6,d_mea7,,,,,,,
53.5,99.8,198.3,306,516,1035.1,1541.5,,,,,,,
50.7,100.4,194.6,304,515,1048.1,1544.7,,,,,,,
53.7,99.8,199.6,301,517.7,1030.5,1542.2,,,,,,,
45.4,98,195.1,301.8,507.6,1038.2,1536.6,,,,,,,
51.7,99.5,195.7,302.1,519.2,1039.2,1538,,,,,,,
48.5,102.7,197.5,303.2,515.5,1038.7,1541.3,,,,,,,
54.3,104.7,195.5,302.5,508.9,1042.7,1542.2,,,,,,,
54.9,99.2,195.3,306.3,517.1,1067.4,1541.3,,,,,,,
52.9,98.1,201.3,303.2,511.9,1031.8,1542.2,,,,,,,
52.3,99.5,196.5,302.6,520.9,1044.4,1545.4,,,,,,,
51.2,105.7,195.6,305.1,510.5,1039.1,1543.1,,,,,,,
57.6,104.4,196.3,303.6,516.7,1042.7,1535.6,,,,,,,
51.7,104.7,197.9,301.5,523.4,1038.7,1536.7,,,,,,,
54.1,100.7,197.9,301.6,521,1048.1,1541.1,,,,,,,
53.9,99.6,193.7,299.9,509.3,1065.1,1536.8,,,,,,,
56,99.2,195,304.8,510.7,1067,1532.7,,,,,,,
49.6,103,197.8,302.2,513.3,1038.7,1537.4,,,,,,,
51.4,102.2,195.1,304.5,512.1,1033,1543.1,,,,,,,
48.8,101,195.8,302.4,511.2,1033.1,1539.9,,,,,,,
56.5,99.7,199.2,301.2,512.3,1031.8,1538.2,,,,,,,
59.3,100.3,197.2,300.7,519.3,1038,1544,,,,,,,
51.9,99.9,196.9,302.9,515.5,1042.5,1542.7,,,,,,,
48.9,98.8,194.6,307.3,517,1035.8,1531.5,,,,,,,
51.8,100.9,194.3,301.6,512.9,1036.7,1533.7,,,,,,,
50,103.2,195.9,301.5,519.1,1061.3,1538.2,,,,,,,
49.9,102.1,195.2,303.8,509.9,1037.2,1541.1,,,,,,,
51,98.2,197.8,303.4,528,1042.4,1540.9,,,,,,,
54.5,99,193.8,300.9,514.4,1035.7,1538.3,,,,,,,
51.4,104.4,198.4,304.8,511.7,1042.9,1545.8,,,,,,,
54.2,101.3,195.1,305.4,516,1033.1,1544.9,,,,,,,
53.4,102.6,195.4,305.4,519.8,1040.9,1541.9,,,,,,,
56.7,104.5,194.7,304.5,521.8,1035.8,1544.4,,,,,,,
51.1,98,195.3,303.4,517.1,1045.2,1535.1,,,,,,,
53.4,96.7,195.7,304.3,516.6,1068.1,1535.2,,,,,,,
55,102.4,198.1,301.4,515.6,1039.1,1534.3,,,,,,,
49.8,102.4,197.3,301.2,512.2,1047.9,1541,,,,,,,
55,101.5,193.9,302.2,516.5,1041,1543.6,,,,,,,
52.8,102,197.9,303.5,513.3,1036.9,1543.9,,,,,,,
51.6,100.5,198.6,300.2,511.1,1040.3,1545.2,,,,,,,
49.6,98,196.5,303.4,516.5,1040.3,1538.6,,,,,,,
53.1,102.9,197.3,303.5,517.2,1045.2,1539.6,,,,,,,
52.1,104.1,198.2,303.5,513,1043.7,1538.3,,,,,,,
49,100.5,197.1,304,517.5,1042,1544.8,,,,,,,
52.1,102.5,196,303.6,513.2,1042.5,1542.4,,,,,,,
51.6,100.5,199.3,303.9,512.9,1076.6,1540,,,,,,,
52.2,97.7,196.1,302.9,516,1039.4,1542.3,,,,,,,
57.2,99.3,194.1,307,515,1068.9,1540.2,,,,,,,
51.7,101.1,197.1,305.5,517.7,1066.1,1539.2,,,,,,,
51.7,100.1,198.4,306.6,507.6,1036.2,1536.6,,,,,,,
57.4,102,195.5,305,519.2,1030.7,1538,,,,,,,
50.9,99.1,193.5,303.2,515.5,1052.7,1540.6,,,,,,,
49.9,100.9,198.6,302.8,508.9,1056.2,1539.6,,,,,,,
50.1,101.8,197.1,299.5,509.6,1063.7,1542.9,,,,,,,
52,98.9,197.7,301.7,515.8,1044.2,1538.7,,,,,,,
52.4,98.6,194.3,303.5,505.4,1043.3,1538.8,,,,,,,
53.3,95.3,198.9,301.8,512.3,1034.8,1540.4,,,,,,,
47.7,102.2,194.9,302.7,537,1039.4,1538.8,,,,,,,
50.8,96.1,197.6,300.8,512,1040,1543.8,,,,,,,
47.5,98.6,195.2,301.9,511.9,1047.3,1540.7,,,,,,,
50,92.4,197.5,302.2,509.9,1044.7,1544,,,,,,,
54.3,101.4,197.6,301.3,514.2,1041.7,1546.6,,,,,,,
49.9,98.9,195.6,304.5,512.4,1066.2,1541.1,,,,,,,
50.8,101,196.7,302.1,508.4,1037.5,1545.5,,,,,,,
51.8,96.3,194.8,301.8,515.9,1039.1,1542.2,,,,,,,
50.6,98.8,192.9,303.2,516.7,1039,1535.8,,,,,,,
47.3,91.8,198.3,302.5,514.4,1037.4,1537,,,,,,,
51.6,98,197,302.9,515,1043.1,1538.6,,,,,,,
52.4,93.7,198.5,301.9,509.3,1041.8,1536.8,,,,,,,
51.9,95.6,199.4,302.6,515.6,1035.8,1540,,,,,,,
53.4,93.1,195.9,300.2,512.9,1038.4,1538.6,,,,,,,
53.1,96.8,195.6,300.8,505.5,1036,1540.2,,,,,,,
50.9,96.1,195.7,302.7,512.5,1043.8,1544.3,,,,,,,
52.2,91.3,197.7,304.1,516,1041.5,1540.3,,,,,,,
53.5,95.8,194.6,303.2,516.8,1036.7,1542,,,,,,,
51.6,97.6,197.2,302.2,513.6,1044.4,1540.2,,,,,,,
52.8,96.9,196.4,300.5,511,1098.2,1541.1,,,,,,,
52,99,197.8,301.7,512.3,1041.8,1544.5,,,,,,,
55.8,94.7,192.8,303.7,511.2,1036.7,1545.5,,,,,,,
54.5,94.8,198.5,303.3,510.8,1037.4,1535,,,,,,,
55.5,95.6,196.8,306.2,513.9,1039.1,1537.9,,,,,,,
56.9,95.2,196.1,300.5,513.9,1042.7,1544.4,,,,,,,
51.4,96.9,198.8,302.6,508.6,1042.2,1540.1,,,,,,,
54.3,95.1,196.3,304.5,508.8,1040.9,1540.2,,,,,,,
52.7,104.6,197,303,509.7,1041.1,1542.4,,,,,,,
55.9,99.5,196.7,301.9,520.1,1029.4,1542,,,,,,,
55.3,101.6,198.6,300.6,518.3,1042.7,1536.5,,,,,,,
55.6,97.6,196.7,303.2,511.6,1034.5,1540.2,,,,,,,
57.5,94,198,299.4,517.6,1046.9,1543.7,,,,,,,
53.1,96.1,198.1,305.6,519.1,1031,1541.5,,,,,,,
54.5,99.4,199,305.6,518.9,1037.4,1539.9,,,,,,,
54.2,102.8,195.7,302.9,518.3,1045.5,1543.1,,,,,,,
57.8,100.9,197.9,303.2,517.6,1040.1,1538.4,,,,,,,
59,99,198.4,303.1,507.4,1036.6,1542,,,,,,,
54,94.2,196.2,306,511.1,1049.1,1537.7,,,,,,,
56.4,100.4,200.3,302.9,516.7,1037,1544.6,,,,,,,
55,104.2,198.5,303.1,507,1038.2,1549.1,,,,,,,
55.6,103.1,199.2,302.6,511.8,1040.7,1546.4,,,,,,,
54.5,105.4,196.1,303.6,509.9,1039,1543.1,,,,,,,
55.1,107.9,197.7,301.7,511.4,1042.4,1552.1,,,,,,,
55.2,99.4,196.5,303.1,512.3,1035.8,1542.4,,,,,,,
59,100.8,198.1,302.1,507.7,1041.9,1534,,,,,,,
55.3,100.7,197.2,302.5,515.1,1043.1,1544.3,,,,,,,
56.5,98.2,199.1,304.5,513.5,1036.3,1542.3,,,,,,,
57.1,98.7,198.7,306,516.4,1042.4,1545.3,,,,,,,
51.1,102.3,199.3,304.2,510.7,1042,1537.4,,,,,,,
55.4,98.7,197.7,302.8,511.1,1037.7,1542.5,,,,,,,
56.9,98,195.8,302,518.8,1036.4,1535.1,,,,,,,
56,97.5,195.9,305.2,516.1,1041.4,1540.9,,,,,,,
57.2,97,195.9,301.9,505.8,1041.4,1546.4,,,,,,,
58.5,97.5,192.9,301.6,510.7,1045.2,1557,,,,,,,
56.5,100,198.8,303.3,513.3,1032.4,1540.5,,,,,,,
52.8,95.4,199.6,306,512.1,1039.9,1528.8,,,,,,,
55.2,93.6,194.8,299.2,511.2,1043.3,1545.7,,,,,,,
52.3,95.4,196.8,304.5,522.3,1040.2,1547,,,,,,,
55.6,99,201.9,304.9,519.3,1042.3,1547.5,,,,,,,
57.9,102.4,201.2,303.7,515.5,1073.1,1538.1,,,,,,,
50.8,97.4,199.3,304.5,517,1102.2,1547.2,,,,,,,
51.1,97.2,198.5,300.6,512.9,1045,1543.3,,,,,,,
53.1,96.3,199.7,302.8,519.1,1043.3,1541.5,,,,,,,
49.3,98.8,197.6,305.1,509.9,1042.3,1539.4,,,,,,,
55.1,92.7,197.9,299.5,511,1036.6,1546.4,,,,,,,
54.7,94.4,199.1,301.9,514.4,1036.1,1541.8,,,,,,,
52.6,96.1,199.4,304.4,511.7,1044.9,1547.6,,,,,,,
51.8,93.8,199,302.2,516,1039,1547.6,,,,,,,
49.2,98.3,199.2,300.4,519.8,1035.6,1549.4,,,,,,,
57.1,95.4,193.5,305.7,521.8,1039,1539.8,,,,,,,
52.7,93.4,198,302.4,517.1,1039.3,1538,,,,,,,
51.7,97.2,195.7,302.4,516.6,1034.3,1539.2,,,,,,,
56.3,95.9,200,302.8,515.6,1038.8,1543.9,,,,,,,
48,93.4,198.2,299.5,512.2,1037.2,1538.4,,,,,,,
60.4,100.6,200.9,298.4,516.5,1041.4,1533.7,,,,,,,
48.6,98.1,197.3,305.3,513.3,1072.6,1538.8,,,,,,,
56.3,96.1,195.7,301.4,511.1,1043.5,1537.3,,,,,,,
59.3,96.1,199,298.3,516.5,1040.1,1540,,,,,,,
53.3,100.9,194.7,302.4,517.2,1042.5,1544.5,,,,,,,
55.9,96.5,196.9,301.9,513,1036.1,1545.8,,,,,,,
50.9,95.9,198.8,301.4,517.5,1035.2,1551.8,,,,,,,
50.1,90.4,199.2,303.8,513.2,1041.2,1545.7,,,,,,,
48.1,97.4,193.7,302.7,512.9,1038.8,1548.1,,,,,,,
48.6,99.9,198.8,303.9,516,1042.1,1546.6,,,,,,,
49,99.4,197.3,301.9,515,1036,1541.8,,,,,,,
53.6,100.3,202.4,301.1,517.7,1039.1,1539.6,,,,,,,
58.2,100.4,203.5,301.9,507.6,1066.7,1542.2,,,,,,,
51.1,100.6,197.9,306.7,519.2,1043.3,1545.5,,,,,,,
55,94.1,199.3,300.6,515.5,1034.2,1541,,,,,,,
52.9,94,200.3,299.1,508.9,1033.9,1538.7,,,,,,,
55.1,90.8,199.8,303.4,517.1,1041.3,1545.6,,,,,,,
44.9,95,196.4,303.5,511.9,1040.4,1551.4,,,,,,,
52.5,93.4,198.7,301.7,520.9,1035.3,1542.3,,,,,,,
54.3,93.9,201.6,305.3,510.5,1032.8,1548.1,,,,,,,
50.7,93.7,197.7,305.7,516.7,1028.7,1528.9,,,,,,,
55.1,97.5,197.2,304.1,523.4,1035.4,1541.1,,,,,,,
47.1,96.5,198.7,306.9,521,1037.3,1546.3,,,,,,,
56.9,94.3,195.9,303.3,509.3,1036.1,1548.9,,,,,,,
48.1,93.7,197.6,299.9,510.7,1068.4,1546,,,,,,,
45,99.9,196.9,304.3,513.3,1035.5,1538.4,,,,,,,
47.3,97.9,200.6,303.2,512.1,1028.4,1543.5,,,,,,,
57.1,101.4,200.3,298.7,511.2,1044.1,1544.7,,,,,,,
54.1,98.9,200,304.9,512.3,1042.2,1540.1,,,,,,,
51.5,97.5,198.6,303,519.3,1047.9,1546.5,,,,,,,
56.9,98.4,200.1,303.7,515.5,1064.6,1538.9,,,,,,,
56.1,100.4,198.3,302.4,517,1043.1,1542.3,,,,,,,
